item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q1101176,Gear Fighter Dendoh,Japanese anime television series,L'invincibile Dendoh,Anime
http://www.wikidata.org/entity/Q1105802,Lagrange: The Flower of Rin-ne,Japanese anime television series,Rinne no Lagrange,serie televisiva anime prodotta da Xebec e Production I.G
http://www.wikidata.org/entity/Q2699007,Legend of Heavenly Sphere Shurato,Japanese manga series,Tenkū senki Shurato,serie di manga
http://www.wikidata.org/entity/Q2602128,Dancouga – Super Beast Machine God,Japanese anime television series,Dancouga,serie anime
http://www.wikidata.org/entity/Q27064328,To Be Hero,Chinese anime series broadcast in Japan in 2016,To Be Hero,serie televisiva anime prodotta da Emon Animation Company
http://www.wikidata.org/entity/Q1077331,Panty & Stocking with Garterbelt,Japanese anime television series,Panty & Stocking with Garterbelt,anime giapponese della Gainax del 2010
http://www.wikidata.org/entity/Q2703745,Earthian,Japanese manga series,Earthian,serie di manga
http://www.wikidata.org/entity/Q629700,Plastic Little,manga,Plastic Little,manga (fumetto giapponese
http://www.wikidata.org/entity/Q104766972,Non Non Biyori Movie: Vacation,Japanese anime film,Non Non Biyori Movie: Vacation,film d'animazione giapponese
http://www.wikidata.org/entity/Q116691876,Black Clover: Sword of the Wizard King,2023 anime film directed by Ayataka Tanemura,Black Clover: La spada dell'imperatore magico,film del 2023 diretto da Ayataka Tanemura
http://www.wikidata.org/entity/Q2615117,New Fist of the North Star,2003 original video animation,Ken il guerriero - La trilogia,serie anime OAV in tre episodi del 2003
http://www.wikidata.org/entity/Q745804,Megami Paradise,1994 video game,Megami Paradise,videogioco del 1994
http://www.wikidata.org/entity/Q2662527,Aki Sora,"Japanese manga written by Masahiro Itosugi, and a derived anime",Aki Sora,serie di manga
http://www.wikidata.org/entity/Q3829343,Leda: The Fantastic Adventure of Yohko,1985 original video animation,Leda,original anime video
http://www.wikidata.org/entity/Q1117884,Crying Freeman,Japanese manga series,Crying Freeman,Serie manga e OAV giapponese
http://www.wikidata.org/entity/Q1363696,Gunsmith Cats,Japanese manga series,Gun Smith Cats,manga di Kenichi Sonoda
http://www.wikidata.org/entity/Q5280512,My My Mai,Japanese manga series,My My My - Consulenze particolari,serie di manga
http://www.wikidata.org/entity/Q806915,All Purpose Cultural Cat Girl Nuku Nuku,manga,Bannō bunka nekomusume,manga giapponese
http://www.wikidata.org/entity/Q5529394,Gdleen,Japanese light novel series,Gdleen,videogioco del 1991
http://www.wikidata.org/entity/Q229817,3×3 Eyes,manga,3x3 occhi,serie di manga
http://www.wikidata.org/entity/Q860323,Jankenman,1991 film,Jankenman,videogioco del 1992
http://www.wikidata.org/entity/Q11261812,Oppai no Ouja 48,video game,Oppai no Ouja 48,videogioco
http://www.wikidata.org/entity/Q426252,Iria: Zeiram the Animation,original video animation,I.R.I.A - Zeiram the Animation,serie OAV
http://www.wikidata.org/entity/Q1388243,Here Is Greenwood,Japanese manga series,Koko wa Greenwood,serie di manga
http://www.wikidata.org/entity/Q10847068,Euphoria,2011 computer game,Euphoria,videogioco del 2011
http://www.wikidata.org/entity/Q2555827,Kinnikuman Nisei,2002 anime,Ultimate Muscle,manga e anime
http://www.wikidata.org/entity/Q8078188,Él,2000 Japanese adult visual novel,Él,videogioco del 2001
http://www.wikidata.org/entity/Q2519475,Hen,manga by Hiroya Oku,HEN,serie di manga
http://www.wikidata.org/entity/Q11677969,The Black Cat,1929 film,Kuro Nyago,cortometraggio d'animazione del 1931
http://www.wikidata.org/entity/Q1493348,Goemon,video game series,Ganbare Goemon,serie di manga
http://www.wikidata.org/entity/Q3790113,Saint Seiya: The Hades,2002 film,I Cavalieri dello zodiaco - Saint Seiya - Hades,serie OAV del 2002
http://www.wikidata.org/entity/Q1151546,Happiness!,Japanese media franchise,Happiness!,videogioco
http://www.wikidata.org/entity/Q5028619,Campus,2001 Japanese eroge and original video animation,Campus,videogioco del 2001
http://www.wikidata.org/entity/Q2255268,Violence Jack,Japanese manga series,Violence Jack,manga pulp di Gō Nagai
http://www.wikidata.org/entity/Q24862620,Nanairo Kakumei,shōjo manga by Mizuka Yuzuhara,Nanairo Kakumei,serie di manga
http://www.wikidata.org/entity/Q997465,Bubblegum Crisis,1987 cyberpunk original video animation series,Bubblegum Crisis,serie anime OAV
http://www.wikidata.org/entity/Q2704845,Immoral Sisters,video game and original video animation,Immoral Sisters,videogioco del 1994
http://www.wikidata.org/entity/Q1077672,Kōtetsushin Jeeg,Japanese anime television series,Shin Jeeg Robot d'acciaio,serie televisiva anime del 2007
http://www.wikidata.org/entity/Q1314495,RG Veda,manga series,RG Veda,serie di manga
http://www.wikidata.org/entity/Q890189,No Money,manga,Okane ga nai,serie di manga
http://www.wikidata.org/entity/Q493375,Noblesse,South Korean webtoon,Noblesse,manhwa di Son Jae Ho e Lee Gwang Su
http://www.wikidata.org/entity/Q2759728,See Me After Class,original video animation and manga,Asa made jugyō chu!,serie di manga
http://www.wikidata.org/entity/Q115807177,The Seven Deadly Sins: Grudge of Edinburgh,two-part film by Bob Shirahata,The Seven Deadly Sins: Grudge of Edinburgh,film in due parti diretto da Bob Shirahata
http://www.wikidata.org/entity/Q3843457,Sexy Magical Girl,2001 video game,Mahō shōjo Ai,videogioco del 2001
http://www.wikidata.org/entity/Q1048795,One Piece: Defeat The Pirate Ganzak!,Japanese OVA,One Piece: Taose! Kaizoku Gyanzac,OVA del 1998
http://www.wikidata.org/entity/Q2714728,Sexfriend,hentai computer game and anime,Sexfriend,videogioco
http://www.wikidata.org/entity/Q539041,Boku no Pico,2006 series of adult shotacon anime OVAs,Boku no Pico,serie OAV di genere shotacon prodotta dallo studio Natural High
http://www.wikidata.org/entity/Q101863729,Doraemon: Nobita's Little Star Wars 2021,2022 film directed by Susumu Yamaguchi,Doraemon - Il film: Nobita e le piccole guerre stellari 2021,film d'animazione giapponese del 2022
http://www.wikidata.org/entity/Q712711,801 T.T.S. Airbats,manga,Aozora Shōjotai,serie di manga
http://www.wikidata.org/entity/Q102221749,Healin' Good Pretty Cure the Movie: GoGo! Big Transformation! The Town of Dreams,2021 film directed by Ryōta Nakamura,Eiga Healin' Good Pretty Cure - Yume no machi de kyun! tto GoGo! Daihenshin!!,film del 2021 diretto da Ryōta Nakamura
http://www.wikidata.org/entity/Q584096,Starship Girl Yamamoto Yohko,Japanese light novel series,Soreyuke! Uchu Senkan Yamamoto Yoko,serie di manga
http://www.wikidata.org/entity/Q3840831,Return of Pycal,Japanese original video animation,Lupin III - Il ritorno di Pycal,secondo film OAV d'animazione giapponese con protagonista Lupin III
http://www.wikidata.org/entity/Q2777895,Re: Cutie Honey,2004 original video animation directed by Hideaki Anno,Re: Cutie Honey,serie OAV del 2004
http://www.wikidata.org/entity/Q1186594,list of Case Closed OVAs,Wikimedia list article,OAV di Detective Conan,lista di un progetto Wikimedia
http://www.wikidata.org/entity/Q116486283,Digimon Adventure 02: The Beginning,film directed by Tomohisa Taguchi,Digimon Adventure 02: The Beginning,film d'animazione giapponese diretto da Tomohisa Taguchi
http://www.wikidata.org/entity/Q738678,Green Vs. Red,2008 original video animation directed by Shigeyuki Miya,Lupin III - Verde contro Rosso - GREEN vs RED,terzo film OAV d'animazione giapponese con protagonista Lupin III
http://www.wikidata.org/entity/Q11200032,Fate/Prototype,animated film,Fate/Prototype,OAV
http://www.wikidata.org/entity/Q1321644,Yokohama Kaidashi Kikō,Japanese manga series,Yokohama Shopping Blog,serie di manga
http://www.wikidata.org/entity/Q15733151,Giovanni's Island,2014 film by Mizuho Nishikubo,L'isola di Giovanni,film del 2014 diretto da Mizuho Nishikubo
http://www.wikidata.org/entity/Q864533,One Piece: Romance Dawn Story,Japanese OVA,One Piece: Romance Dawn Story,cortometraggio OVA del 2008
http://www.wikidata.org/entity/Q11278690,Camelot,original video animation,Camelot,OAV del 1990 diretto da Fumiko Ishii e Osamu Kobayashi
http://www.wikidata.org/entity/Q2074194,Fish in the Trap,manga and OVA,Fish in the Trap,manga di genere yaoi di Ranma Nekokichi
http://www.wikidata.org/entity/Q91917,Baoh,manga,Baoh,manga
http://www.wikidata.org/entity/Q132053,Puni Puni ☆ Poemy,2001 anime,Puni Puni ☆ Poemi,serie OAV del 2001
http://www.wikidata.org/entity/Q1208940,Koe de Oshigoto!,2010 film,Koe de oshigoto!,serie di manga
http://www.wikidata.org/entity/Q1132540,Tenshi Nanka Ja Nai,manga,Non sono un angelo,"manga scritto, illustrato e disegnato da Ai Yazawa"
http://www.wikidata.org/entity/Q1780107,Ogenki Clinic,Japanese manga series,La clinica dell'amore,manga di Haruka Inui
http://www.wikidata.org/entity/Q116861251,Coo : Tōi Umi kara Kita Coo,1993 film,Coo che arrivò da un mare lontano,film d'animazione del 1993 diretto da Tetsuo Imazawa
http://www.wikidata.org/entity/Q3623143,Armitage III: Poly Matrix,1996 anime directed by Takuya Satō,Armitage III: Poly-Matrix,film d'animazione del 1997 diretto da Takuya Satō
http://www.wikidata.org/entity/Q1754057,Angel's Egg,Japanese OVA,Tenshi no tamago,film del 1985 diretto da Mamoru Oshii
http://www.wikidata.org/entity/Q972569,Doraemon: Nobita and the Green Giant Legend,2008 film by Ayumu Watanabe,Eiga Doraemon Nobita To Midori No Kyojinden,film del 2008 diretto da Ayumu Watanabe
http://www.wikidata.org/entity/Q2506667,Shōjo Sect,Japanese adult yuri manga series,Shojo sect,manga di Ken Kurogane del 2003
http://www.wikidata.org/entity/Q1156204,Strawberry Marshmallow,Japanese manga series,Ichigo Mashimaro,manga giapponese del 2002
http://www.wikidata.org/entity/Q3575941,Zone of the Enders: 2167 Idolo,animated film,Zone of the Enders - Z.O.E 2167 - Idolo,mediometraggio OVA del 2001
http://www.wikidata.org/entity/Q105096519,Midori,1992 anime by Hiroshi Harada,Midori - La ragazza delle camelie,film anime di Hiroshi Harada del 1992
http://www.wikidata.org/entity/Q2420364,Sonic the Hedgehog,1996 original video animation based on the Sonic the Hedgehog franchise,Sonic the Hedgehog,OAV del 1996
http://www.wikidata.org/entity/Q2755118,Mobile Suit Gundam SEED Astray,Japanese manga series,Mobile Suit Gundam SEED Astray,serie di manga
http://www.wikidata.org/entity/Q115978240,The Colors Within,2024 anime film directed by Naoko Yamada,I colori dell'anima - The Colors Within,film diretto da Naoko Yamada del 2024
http://www.wikidata.org/entity/Q856326,Bible Black,2000 eroge video game from Japan,Bible Black,videogioco del 2000
