item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q131329165,Hermitage of Placido da Roio,"hermitage of Placido da Roio at Fossa, L'Aquila, Italy",grotta di Placido da Roio,grotta di Placido da Roio a Fossa (AQ)
http://www.wikidata.org/entity/Q131303541,Hermitage of Bonanno da Roio,hermitage at Roio (AQ),Grotta di Bonanno da Roio,eremo a Roio (AQ)
http://www.wikidata.org/entity/Q131429560,hermitage of San Franco al Cefalone,hermitage near Pizzo Cefalone (AQ),eremo di San Franco al Cefalone,eremo al Pizzo Cefalone (AQ)
http://www.wikidata.org/entity/Q131378951,hermitage of San Terenziano,hermitage at Corfinio (AQ),eremo di San Terenziano,eremo a Corfinio (AQ)
http://www.wikidata.org/entity/Q23388466,Hermitage of San Venanzio,"hermitage in Raiano, Italy",eremo di San Venanzio,edificio religioso di Raiano
http://www.wikidata.org/entity/Q131844628,Chapel for the Opet Festival,"ancient Egyptian chapel in Deir el-Medina, Luxor, Egypt, near the north wall of the village",Cappella delle Feste,"antica cappella egizia a Deir el-Medina in Egitto, a ridosso del muro nord del villaggio"
http://www.wikidata.org/entity/Q642979,Monolithic churches in Lalibela,Churches made from a single block of stone in Ethiopia,chiese rupestri di Lalibela,patrimonio dell'umanità in Etiopia
http://www.wikidata.org/entity/Q130394232,Hermitage of Sant'Onofrio,"hermitage in Sant'Onofrio at Lucoli, L'Aquila, Italy",eremo di Sant'Onofrio di Lucoli,eremo di Sant'Onofro di Lucoli (AQ)
http://www.wikidata.org/entity/Q86586931,hermitage of Santa Maria de Criptis,hermitage cave on mount Morrone (AQ),eremo di Santa Maria de Criptis,grotta sul monte Morrone (AQ)
http://www.wikidata.org/entity/Q131429491,hermitage of San Franco ai Peschioli,hermitage at Assergi (AQ),eremo di San Franco ai Peschioli,eremo ad Assergi (AQ)
http://www.wikidata.org/entity/Q3949832,Santuario della Madonna di Pietrabona,"sanctuary in Castel di Ieri (AQ), Italy",santuario della Madonna di Pietrabona,santuario di Castel di Ieri (AQ)
http://www.wikidata.org/entity/Q120801569,hermitage of San Rocco di Ripa,hermitage and church at Fagnano Alto (AQ),eremo di San Rocco in Ripa,eremo e chiesa a Fagnano Alto in località Ripa Fagnano (AQ)
http://www.wikidata.org/entity/Q131341193,cave of San Giovanni di Bisegna,cave for religious service at Bisegna (AQ),grotta di San Giovanni di Bisegna,grotta  di culto rupestre a Bisegna (AQ)
http://www.wikidata.org/entity/Q25667840,Eremo di Santa Maria della Ritornata,"hermitage in Civita d'Antino, L'Aquila, Italy",eremo di Santa Maria della Ritornata,eremo di Civita d'Antino
http://www.wikidata.org/entity/Q106714272,Monuments to the martyrs of Fascism,"monument in Bologna, Itay",Monumento ai martiri della rivoluzione fascista,"monumento a Bologna, Italia"
http://www.wikidata.org/entity/Q126915765,Sant'Angelo in Vetulis,cave church situated between Sulmona and Pacentro,chiesa Sant'Angelo in Vetulis,chiesa rupestre situata tra Sulmona e Pacentro
http://www.wikidata.org/entity/Q3390714,stronghold,town/city that has been fortified,piazzaforte,tipo di struttura difensiva
