item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q227984,Arenga pinnata,species of plant,Arenga pinnata,specie di pianta della famiglia Arecaceae
http://www.wikidata.org/entity/Q50634,Bun cha,Vietnamese dish,Bún chả,spaghetti di riso con maiale e verdure tipici del Vietnam
http://www.wikidata.org/entity/Q29472543,pea,seed of serval legumes,pisello,legume ricavato dalla pianta Pisum sativum
http://www.wikidata.org/entity/Q491517,samosa,baked dish common to South Asia and the Middle East,samosa,antipasto asiatico
http://www.wikidata.org/entity/Q103795986,green pepper,spice,pepe verde,spezia
http://www.wikidata.org/entity/Q863794,chili,American stew,chili con carne,stufato di carne e peperoni tipico della cucina Tex-Mex
http://www.wikidata.org/entity/Q402971,Alpinia galanga,species of plant,Alpinia galanga,specie di pianta della famiglia Zingiberaceae
http://www.wikidata.org/entity/Q2738934,panelle,sicilian fritters,panella,"frittella di farina di ceci, tipico cibo da strada della cucina palermitana"
http://www.wikidata.org/entity/Q20034,lasagna,layered pasta dish,lasagne al forno,"piatto a base di pasta, che alterna strati di lasagne, ragù e besciamella"
http://www.wikidata.org/entity/Q2955932,Champurrado,chocolate beverage,Champurrado,Bevanda al cioccolato
http://www.wikidata.org/entity/Q18012503,cane sugar,sugar obtained from sugar cane,zucchero di canna,zucchero da tavola estratto dalla canna da zucchero
http://www.wikidata.org/entity/Q61864890,lobster,shellfish,aragosta,prodotto ittico ricavato da crostacei del genere Nephropidae
http://www.wikidata.org/entity/Q1062396,cocoa powder,mixture of many substances remaining after cocoa butter is extracted from cacao beans,cacao in polvere,miscela delle sostanze residue dopo l'estrazione del burro di cacao dai semi del cacao
http://www.wikidata.org/entity/Q20638126,tomato,"fruit, used as a vegetable",pomodoro,"frutto della pianta Solanum lycopersicum, usato come verdura"
http://www.wikidata.org/entity/Q10987,honey,sweet food made by bees mostly using nectar from flowers,miele,alimento prodotto dalle api
http://www.wikidata.org/entity/Q523224,cooked rice,rice that has been cooked either by steaming or boiling,riso in bianco,riso cotto mediante bollitura o al vapore
http://www.wikidata.org/entity/Q6018744,şambali,"dessert (literally ""Damascus honey"" in Turkish)",Şambali,dessert turco a base di semolino
http://www.wikidata.org/entity/Q481774,amuse-bouche,"single, bite-sized hors d’œuvre",Amuse-bouche,pietanza
http://www.wikidata.org/entity/Q11027461,macadamia nut,edible seed,noce macadamia,frutto dell'albero tropicale chiamato Macadamia
http://www.wikidata.org/entity/Q2402333,Buddha's delight,vegetarian dish of China,Delizia di Buddha,piatto vegano della cucina buddhista cinese
http://www.wikidata.org/entity/Q45422,yeast,informal group of fungi,lievito,un gruppo di funghi utilizzati nella panificazione e produzione di birra
http://www.wikidata.org/entity/Q6663,hamburger,American sandwich of ground beef patty,hamburger,"panino imbottito, ripieno di una o più omonime polpette, verdura, salse e condimenti"
http://www.wikidata.org/entity/Q1088248,crocchè,potato dish,crocchè,piatto a base di patate tipico della cucina napoletana
http://www.wikidata.org/entity/Q2915859,Fettuccine Alfredo,pasta dish made from fettuccine tossed with Parmesan cheese and butter,fettuccine Alfredo,"pietanza a base di pasta, burro e parmigiano, tipica della cucina romana e italo-americana"
http://www.wikidata.org/entity/Q205762,goulash,"Hungarian dish consisting of soup or stew of meat and vegetables, seasoned with paprika and other spices",gulasch,preparazione ungherese
http://www.wikidata.org/entity/Q860465,roast beef,traditional English dish of beef which is roasted,roast beef,piatto di carne
http://www.wikidata.org/entity/Q15645384,wheat,widely cultivated cereal grain,grano,"cereale, genere della famiglia graminacee"
http://www.wikidata.org/entity/Q20016,fideuà,"dish typical of the Valencian Community, in Spain",fideuà,piatto tipico spagnolo
http://www.wikidata.org/entity/Q841779,coconut milk,liquid that comes from the grated meat of a coconut,latte di cocco,liquido dolce che si ottiene mescolando la polpa interna del cocco macinata con acqua o latte
