item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q252962,biological determinism,belief that human behavior is controlled by an individual's genes or physiology,determinismo biologico,termine
http://www.wikidata.org/entity/Q7169,conservatism,"cultural, social, and political philosophy that seeks to promote and to preserve traditional social institutions and practices",conservatorismo,corrente politico-culturale
http://www.wikidata.org/entity/Q178598,libertarianism,political philosophy and movement that upholds liberty as a core principle,libertarianismo,insieme di filosofie politiche che considerano la libertà come il più alto valore e fine politico
http://www.wikidata.org/entity/Q550113,17th-century philosophy,philosophy during the 17th century,filosofia del XVII secolo,periodo della storia della filosofia
http://www.wikidata.org/entity/Q5398670,esotericism in Germany and Austria,overview of esoteric movements in Germany and Austria,Esoterismo in Germania e Austria,Panoramica delle correnti esoteriche che hanno contrassegnato la cultura dei paesi di lingua tedesca
http://www.wikidata.org/entity/Q1761342,Prolegomena to Any Future Metaphysics,1783 book by Immanuel Kant,Prolegomeni ad ogni metafisica futura che vorrà presentarsi come scienza,saggio di Immanuel Kant
http://www.wikidata.org/entity/Q854859,Foundations of the Science of Knowledge,book by Johann Gottlieb Fichte,Fondamento dell'intera dottrina della scienza come manoscritto per i suoi ascoltatori,saggio di Johann Gottlieb Fichte
http://www.wikidata.org/entity/Q1362751,The Theory of Communicative Action,book by Jürgen Habermas,Teoria dell'agire comunicativo,Jürgen Habermas
http://www.wikidata.org/entity/Q3054660,Greek historiography,science of Greek historical writing,storiografia greca,storiografia greca antica
http://www.wikidata.org/entity/Q260998,Three Principles of the People,political philosophy developed by Sun Yat-sen,Tre Principi del Popolo,filosofia politica sviluppata da Sun Yat-sen
http://www.wikidata.org/entity/Q237789,collectivism,"The moral stance, political philosophy, ideology, or social outlook that emphasizes the significance of groups—their identities, goals, rights, and outcomes",collettivismo,"visione morale, politica e sociale che considera gli individui interdipendenti in gruppi collettivi, alla base del socialismo, del nazismo, del fascismo e del comunismo"
http://www.wikidata.org/entity/Q19602141,human-centered design,approach to design that considers human needs at every step of development,Human-centered design,design incentrato sull'essere umano
http://www.wikidata.org/entity/Q3859441,noble lie,untruth propagated to strengthen social harmony,Mito della nobile menzogna,allegoria o metafora di Platone
