item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q487202,Tower of God,South Korean webtoon,Tower of God,manhwa disegnato e ideato da Lee Jong-hui
http://www.wikidata.org/entity/Q92589,Gionni Galassia,1958-1959 comic by Benito Jacovitti,Gionni Galassia,fumetto di Jacovitti
http://www.wikidata.org/entity/Q177333,Buso Renkin,Japanese manga series,Il guerriero alchemico,serie di manga
http://www.wikidata.org/entity/Q5358741,Elektra: Assassin,1986 comic book limited series,Elektra: Assassin,Romanzo a fumetti
http://www.wikidata.org/entity/Q2855256,Kotoura-san,Japanese manga series,Kotoura-san,manga yonkoma scritto e disegnato da Enokizu
http://www.wikidata.org/entity/Q7457446,Seven Soldiers,2005-2006 comic book series published by DC Comics,Seven Soldiers,fumetto della DC Comics
http://www.wikidata.org/entity/Q2094663,Pif gadget,"French children's magazine (1969–1993, 2004-2009)",Pif Gadget,rivista settimanale francese di fumetti
http://www.wikidata.org/entity/Q180498,Hetappi Manga Kenkyūjo,manga,Akira Toriyama - Scuola di manga,serie di manga
http://www.wikidata.org/entity/Q3746624,Flipside,online comic,Flipside,fumetto online
http://www.wikidata.org/entity/Q2618713,Homestuck,webcomic by Andrew Hussie,Homestuck,fumetto statunitense
http://www.wikidata.org/entity/Q4019625,Who Is Sensor Girl?,comic story arc featuring the Legion of Super-Heroes,Who Is Sensor Girl?,storia a fumetti pubblicata dalla DC Comics
http://www.wikidata.org/entity/Q55080328,Wataten!: An Angel Flew Down to Me,Japanese manga series,Wataten!: An Angel Flew Down to Me!,serie manga
http://www.wikidata.org/entity/Q623998,"Magnus, Robot Fighter",Fictional superhero,Magnus,personaggio dei fumetti di fantascienza
http://www.wikidata.org/entity/Q726431,Dilbert,American comic strip,Dilbert,striscia di fumetti statunitense
http://www.wikidata.org/entity/Q21015266,Radiant,manfra series,Radiant,"serie a fumetti francese in stile giapponese, scritta e disegnata da Tony Valente"
http://www.wikidata.org/entity/Q5306430,Dream Police,2005 American comic book one-shot created by writer J. Michael Straczynski with artwork by Mike Deodato,Dream Police,limited series
http://www.wikidata.org/entity/Q12339810,Trollface,Internet meme,Trollface,fenomeno di internet
http://www.wikidata.org/entity/Q971092,Batman: Year Three,storyline,Batman: Anno tre,saga a fumetti di Batman
http://www.wikidata.org/entity/Q92836,Kylion,cartoon,Kylion,fumetto
http://www.wikidata.org/entity/Q170019,D.Gray-man,Japanese manga series,D.Gray-man,serie di manga Giapponese
http://www.wikidata.org/entity/Q3935717,Rigel,Italian comics,Rigel,fumetto italiano
http://www.wikidata.org/entity/Q343615,Action Comics,American comic book series,Action Comics,testata fumettistica statunitense
http://www.wikidata.org/entity/Q60996980,Aharen-san wa Hakarenai,Japanese manga series,Aharen-san wa hakarenai,manga scritto e disegnato da Asato Mizu
http://www.wikidata.org/entity/Q7037733,Nimona,Webcomic by N.D. Stevenson,Nimona,fumetto di N.D. Stevenson
http://www.wikidata.org/entity/Q65215,Shakes and Fidget,web comic,Shakes & Fidget,fumetto online
http://www.wikidata.org/entity/Q162465,The Order of the Stick,comedic fantasy webcomic,The Order of the Stick,fumetto
http://www.wikidata.org/entity/Q4024708,Zona X,Italian comic book,Zona X,Serie a fumetti italiana di fantascienza
http://www.wikidata.org/entity/Q128492,Jacula,Comic,Jacula,fumetto
http://www.wikidata.org/entity/Q63384604,Belzebubs,virtual band originating from the comic of the same name,Belzebubs,gruppo melodic death metal finlandese
http://www.wikidata.org/entity/Q4545841,Superman vol. 2,comic book series,Superman,secondo volume della serie a fumetti della DC Comics
http://www.wikidata.org/entity/Q39183886,Bouletcorp,webcomic written by Boulet,Bouletcorp,webcomic online scritto e disegnato da Boulet
http://www.wikidata.org/entity/Q7768616,The Thanos Imperative,comic book series,L'Ordine di Thanos,miniserie a fumetti
http://www.wikidata.org/entity/Q654659,Heavy Metal,American science fiction and fantasy comics magazine,Heavy Metal,rivista di fumetti pulp
http://www.wikidata.org/entity/Q2843542,Don Miki,Spanish magazine,Don Miki,fumetto spagnolo
http://www.wikidata.org/entity/Q13915,xkcd,webcomic created by Randall Munroe,xkcd,fumetto online creato da Randall Munroe
http://www.wikidata.org/entity/Q91912,Baby Rocket,cartoon,Baby Rocket,fumetto
http://www.wikidata.org/entity/Q2344545,Sonic X,comic,Sonic X,fumetto della casa editrice statunitense Archie Comics
http://www.wikidata.org/entity/Q138038,Gilgamesh,Japanese manga series,Gilgamesh,serie di manga
http://www.wikidata.org/entity/Q75130982,Summer Time Rendering,Japanese manga series,Summer Time Rendering,manga scritto e disegnato da Yasuki Tanaka
http://www.wikidata.org/entity/Q128525,Vartan,comics character,Vartàn,fumetto
http://www.wikidata.org/entity/Q128521,Messalina,Italian comic book,Messalina,fumetto
http://www.wikidata.org/entity/Q3878986,Nova Express,Italian comics magazine,Nova Express,rivista mensile italiana di fumetti
http://www.wikidata.org/entity/Q6023269,Indiana Jones and the Iron Phoenix,Dark Horse Comics limited series,Indiana Jones and the Iron Phoenix,serie a fumetti
http://www.wikidata.org/entity/Q3875998,Nick Carter,comic strip from Italy,Nick Carter,personaggio creato dal fumettista Bonvi
http://www.wikidata.org/entity/Q1033470,Hana to Yume,Japanese manga magazine,Hana to yume,rivista shōjo manga pubblicata in Giappone dalla casa editrice Hakusensha
http://www.wikidata.org/entity/Q162469,Wolf Guy,Japanese manga series,Wolf Guy,manga
http://www.wikidata.org/entity/Q81891535,Heartstopper,British webcomic,Heartstopper,romanzo grafico
http://www.wikidata.org/entity/Q13516675,Sakura Trick,Japanese four-panel manga series,Sakura Trick,manga yonkoma yuri scritto e disegnato da Tachi
http://www.wikidata.org/entity/Q171803,La☆BlueGirl,1992 erotic manga series by Toshio Maeda,La Blue Girl,manga hentai scritto e disegnato da Toshio Maeda
http://www.wikidata.org/entity/Q81426,Kin-iro Mosaic,Japanese manga series,Kinmoza!,serie manga giapponese
http://www.wikidata.org/entity/Q65235667,Bocchi the Rock!,Japanese manga series,Bocchi the Rock!,manga scritto e disegnato da Aki Hamaji
http://www.wikidata.org/entity/Q500912,Sturmtruppen,Italian comic series,Sturmtruppen,fumetto italiano
http://www.wikidata.org/entity/Q8011104,Trace,South Korean webcomic series by Go Yeong-hun,Trace,webtoon sudcoreano
http://www.wikidata.org/entity/Q8916464,Servant × Service,Japanese manga series,Servant × Service,manga giapponese scritto ed illustrato da Karino Takatsu
http://www.wikidata.org/entity/Q2465328,Flashpoint,American comic book crossover story arc published by DC Comics,Flashpoint,arco narrativo a fumetti
http://www.wikidata.org/entity/Q116298,Dragon Quest Retsuden: Roto no Monshō,manga,Dragon Quest: L'emblema di Roto,manga
http://www.wikidata.org/entity/Q2841295,The Batman Adventures: Mad Love,1993 comic book,Batman: Amore folle,storia a fumetti
http://www.wikidata.org/entity/Q128156,Denkigai no Honya-san,Japanese manga series,Denkigai no hon'ya-san,serie di manga
http://www.wikidata.org/entity/Q137470,Judas,comic book series,Judas,fumetto e personaggio dei fumetti
http://www.wikidata.org/entity/Q161925,Clamp no Kiseki,manga,CLAMP no kiseki,serie di manga
http://www.wikidata.org/entity/Q3223729,Le Journal de Mickey,French Disney comics magazine launched in 1934,Le Journal de Mickey,rivista a fumetti Disney francese
http://www.wikidata.org/entity/Q27972614,Sarah's Scribbles,webcomic by Sarah Andersen,Sarah's Scribbles,webcomic
http://www.wikidata.org/entity/Q1770842,Uncle Scrooge,Disney comic book first published in 1952,Uncle Scrooge,periodico a fumetti statunitense
http://www.wikidata.org/entity/Q92558,Engaso 0.220,comic,Engaso 0.220,fumetto
http://www.wikidata.org/entity/Q7199702,Pixel,2002-2012 sprite webcomic,Pixel,fumetto di Chris Dlugosz
http://www.wikidata.org/entity/Q128522,Oltretomba,Italian comic book,Oltretomba,fumetto
http://www.wikidata.org/entity/Q2510293,The Spectacular Spider-Man,comic book series,Spectacular Spider-Man,Serie a fumetti
http://www.wikidata.org/entity/Q137483,Storia del West,comic book series,Storia del West,fumetto
http://www.wikidata.org/entity/Q2033269,Stacy,2001 film by Naoyuki Tomomatsu,Stacy,film del 2001 diretto da Naoyuki Tomomatsu
http://www.wikidata.org/entity/Q671957,Sweet Tooth,comic,Sweet Tooth,Serie a fumetti di Jeff Lemire
http://www.wikidata.org/entity/Q3993459,Mickey Mouse Vs. Kat Nipp,1931 Mickey Mouse comic strip story,Topolino contro il gatto Nipp,fumetto a puntate di Topolino del 1931
http://www.wikidata.org/entity/Q95021,Lazarus Ledd,comic book,Lazarus Ledd,personaggio dei fumetti
http://www.wikidata.org/entity/Q1121092,Cynical Orange,Manhwa by Yoon JiUn,Cynical Orange,manhwa di Jun Ji Un
http://www.wikidata.org/entity/Q165696,Chokin Senshi Cashman,Japanese manga series,Cashman il guerriero risparmiatore,serie di manga
http://www.wikidata.org/entity/Q18829,Saturday Morning Breakfast Cereal,webcomic,Saturday Morning Breakfast Cereal,fumetto online di Zach Weiner
http://www.wikidata.org/entity/Q3828928,The Origin,1999 comic,Le origini,fumetto del 1999
http://www.wikidata.org/entity/Q162232,2700,comic,2700,fumetto
http://www.wikidata.org/entity/Q96219608,Lore Olympus,webcomic,Lore Olympus,webcomic neozelandese
http://www.wikidata.org/entity/Q6929234,Mr. T,number of comic books,Mr. T,fumetto statunitense
http://www.wikidata.org/entity/Q2049859,Pantera Bionda,Italian comic book character,Pantera Bionda,serie a fumetti italiana di genere tarzanide
http://www.wikidata.org/entity/Q5278689,Dinosaurs for Hire,1988 comic book series,Dinosaurs for Hire,videogioco del 1993
http://www.wikidata.org/entity/Q3944728,Sadik,Italian crime comic book series,Sadik,personaggio immaginario dei fumetti italiani
http://www.wikidata.org/entity/Q6023298,Indiana Jones and the Tomb of the Gods,comic book limited series,Indiana Jones and the Tomb of the Gods,serie a fumetti
http://www.wikidata.org/entity/Q3840837,Lupine III Millennium,Italian comic based on Lupin III,Lupin III Millennium,miniserie a fumetti italiana del 2001
http://www.wikidata.org/entity/Q4119613,Return of the Dinosaurs,1976 TV Anime,Born Free - Il risveglio dei dinosauri,serie televisiva anime del 1976
http://www.wikidata.org/entity/Q493375,Noblesse,South Korean webtoon,Noblesse,manhwa di Son Jae Ho e Lee Gwang Su
http://www.wikidata.org/entity/Q3995988,Toto,manga by Yu-Ko Osada,Toto,manga di Yūkō Osada
http://www.wikidata.org/entity/Q959665,El Jueves,Spanish magazine,El Jueves,settimanale di umorismo satirico spagnolo
http://www.wikidata.org/entity/Q1827084,linus,Italian comics magazine,linus,rivista mensile italiana di fumetti
http://www.wikidata.org/entity/Q95117,Savage Tales,American comics series,Savage Tales,fumetto
http://www.wikidata.org/entity/Q3826722,Lanciostory,Italian comic magazine,Lanciostory,rivista settimanale italiana di fumetti
http://www.wikidata.org/entity/Q28753446,Tsuredure Children,Japanese manga series,Tsurezure children,manga yonkoma scritto e disegnato da Toshiya Wakabayashi
http://www.wikidata.org/entity/Q120300,Crayon Shin-chan,Japanese manga series,Shin Chan,manga di Yoshito Usui
http://www.wikidata.org/entity/Q2000514,Looking for Group,fantasy-based webcomic,Looking for Group,fumetto online
http://www.wikidata.org/entity/Q5247600,Death of the New Gods,DC comic book,Morte dei Nuovi Dei,fumetto della DC Comics
http://www.wikidata.org/entity/Q3870242,Napoleon,comic book,Napoleone,serie a fumetti bimestrale pubblicata da Sergio Bonelli Editore
http://www.wikidata.org/entity/Q4869398,Batman Beyond,title of six DC Comics Series,Batman Beyond,serie a fumetti
http://www.wikidata.org/entity/Q164883,Initial D,Japanese manga series by Shūichi Shigeno,Initial D,manga scritto e illustrato da Shuichi Shigeno
http://www.wikidata.org/entity/Q95040,Magic Patrol,Comic strip,Magic Patrol,fumetto
http://www.wikidata.org/entity/Q181357,Hi Score Girl,Japanese manga series,High Score Girl,serie di manga
http://www.wikidata.org/entity/Q162330,Khor,fantasy comic by   Star Comics,Khor,fumetto
http://www.wikidata.org/entity/Q3346838,Necron,Italian comics,Necron,fumetto di Ilaria Volpe e Magnus del 1981
http://www.wikidata.org/entity/Q28068103,World's End Harem,Japanese web manga series,World's End Harem,manga di LINK e Kotaro Shōno
http://www.wikidata.org/entity/Q4038972,Freddy vs. Jason vs. Ash: The Nightmare Warriors,limited series comic book,Freddy vs. Jason vs. Ash: The Nightmare Warriors,Miniserie a fumetti
http://www.wikidata.org/entity/Q7443999,Secret Files and Origins,series of one-shot comic books and miniseries,Secret Files and Origins,serie di speciali e miniserie a fumetti DC Comics
http://www.wikidata.org/entity/Q7271622,Qui-Gon and Obi-Wan: Last Stand on Ord Mantell,comic series in Star Wars,Qui-Gon and Obi-Wan: Last Stand on Ord Mantell,comic series in Star Wars
http://www.wikidata.org/entity/Q11271635,Danchigai,Japanese manga series,Danchigai,serie di manga
http://www.wikidata.org/entity/Q1135110,Doki Doki School Hours,Japanese manga series,Sensei no ojikan,manga yonkoma scritto e disegnato da Tamami Momose
