item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q583454,chic,element of fashion,Chic,termine francese che denota eleganza o stile
http://www.wikidata.org/entity/Q250160,Ganguro,Japanese fashion trend,Ganguro,moda
http://www.wikidata.org/entity/Q1973161,whale tail,"Y-shaped waistband of a thong or G-string when visible above the waistline of low-rise jeans, shorts, or a skirt that resembles a whale's tail",Whale-tail,"una sottoforma dell'intimo femminile conosciuto come ""coda balena""; cintura a forma di Y o T di un perizoma"
http://www.wikidata.org/entity/Q10379733,gyaru,"Japanese fashion subculture; transliteration of the English slang word 'gal' (""girl"")",Gyaru,moda abituale giapponese
http://www.wikidata.org/entity/Q2104919,gothic fashion,"clothing style marked by dark, mysterious, antiquated and homogeneous features",moda gotica,modo di abbigliarsi
http://www.wikidata.org/entity/Q799905,sagging,manner of wearing pants,Sagging,moda
http://www.wikidata.org/entity/Q17162840,radical chic,people identifying themselves as socialists or radical leftists while conducting upper-class lifestyles,radical chic,espressione idiomatica mutuata dall'inglese
http://www.wikidata.org/entity/Q4866582,hipster,American 1940s subculture,hipster,sottocultura degli anni 1940 negli Stati Uniti d'America
http://www.wikidata.org/entity/Q243697,geek,expert or enthusiast obsessed with a hobby or intellectual pursuit often related to science and computers,geek,esperto o amante di un hobby o di un'attività
http://www.wikidata.org/entity/Q11237484,Lolita fashion,fashion subculture originating in Japan,Moda Lolita,moda d'abbigliamento
http://www.wikidata.org/entity/Q1040465,hipster,contemporary subculture defined by claims to authenticity and uniqueness,hipster,sottocultura contemporanea
