item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q3638345,Elsewhere,book by Gabrielle Zevin,Benvenuti ad Altrove,romanzo scritto da Gabrielle Zevin
http://www.wikidata.org/entity/Q4018750,Wee Willie Winkie,1841 poem and nursery rhyme,Wee Willie Winkie,canzoncina scozzese per bambini del 1841
http://www.wikidata.org/entity/Q552300,"Baa, Baa, Black Sheep",English nursery rhyme,"Baa, Baa, Black Sheep",filastrocca inglese
http://www.wikidata.org/entity/Q108744354,Folklore. Un esotico,2019 book by Giulio Bardi,Folklore. Un esotico,libro di Giulio Bardi del 2019
http://www.wikidata.org/entity/Q6115950,Jack and Jill,nursery rhyme,Jack and Jill,filastrocca inglese
http://www.wikidata.org/entity/Q4019236,What Are Little Boys Made Of?,nursery rhyme and traditional song,What Are Little Boys Made Of?,filastrocca anglosassone
http://www.wikidata.org/entity/Q1458070,Thirty days hath September,Traditional rhyme,Trenta dì conta novembre,filastrocca italiana
http://www.wikidata.org/entity/Q862441,Tre pepparkaksgubbar,"Christmas song written and composed by Alice Tegnér and Astrid Forsell-Gullstrand, originally published in 1913",Tre pepparkaksgubbar,canzone natalizia svedese
http://www.wikidata.org/entity/Q6649245,Little Boy Blue,nursery rhime,Little Boy Blue,filastrocca inglese
http://www.wikidata.org/entity/Q619665,Sayings of the Desert Fathers,stories attributed to early Christian hermits and monks,Apophthegmata Patrum,raccolta di testi cristiani
http://www.wikidata.org/entity/Q3278172,Sing a Song of Sixpence,folk song,Sing a Song of Sixpence,filastrocca inglese
http://www.wikidata.org/entity/Q107391650,International Exhibition of Nothing,International Exhibition of Nothing by Piero Manzoni (1960),Esposizione internazionale del Niente,Esposizione internazionale del Niente di Piero Manzoni (1960)
http://www.wikidata.org/entity/Q6960010,"Row, Row, Row Your Boat",folk song,"Row, Row, Row Your Boat",filastrocca di origine statunitense
http://www.wikidata.org/entity/Q17083293,The Romulan Way,1987 novel by Diane Duane,The Romulan Way,libro del 1987 scritto da Diane Duane e Peter Morwood
http://www.wikidata.org/entity/Q107090452,Manifesto for the International Exhibition of Nothing,manifesto by Piero Manzoni,Manifesto per l'Esposizione internazionale di Niente,Manifesto di Piero Manzoni
http://www.wikidata.org/entity/Q17056219,Shadow Lord,1985 novel by Laurence Yep,Shadow Lord,romanzo dek 1985 scritto Laurence Yep
http://www.wikidata.org/entity/Q83076,MUL.APIN,compendium with many diverse aspects of Babylonian astronomy and astrology,MUL.APIN,compendio astronomico/astrologico scritto in Mesopotamia
http://www.wikidata.org/entity/Q7729175,The Day I Swapped My Dad for Two Goldfish,book by Neil Gaiman,Il giorno che scambiai mio padre con due pesci rossi,libro di Neil Gaiman
http://www.wikidata.org/entity/Q1983009,Futurist Manifesto,Manifesto by Filippo Tommaso Marinetti,Manifesto del futurismo,manifesto di Filippo Tommaso Marinetti
http://www.wikidata.org/entity/Q131939070,Playing murder,book by Sandra Scoppettone,Il gioco dell'assassino,romanzo giallo per ragazzi di Sandra Scoppettone
http://www.wikidata.org/entity/Q309450,Jiraiya Gōketsu Monogatari,novel by Mizugaki Egao,Jiraiya Goketsu Monogatari,romanzo di Mizugaki Egao
http://www.wikidata.org/entity/Q72752459,A.B.C. for soldiers on leave,collection highlight from the National Library of the Netherlands,A.B.C. for soldiers on leave,tesoro della collezione di Biblioteca reale dei Paesi Bassi
http://www.wikidata.org/entity/Q15784365,"Auf der Mauer, auf der Lauer",German children's song,"Auf der Mauer, auf der Lauer",brano musicale per bambini
http://www.wikidata.org/entity/Q132125806,Mel,book by Liz Berry (Shirley Pountney),Mel,romanzo per ragazzi di Liz Berry  (Shirley Pountney)
http://www.wikidata.org/entity/Q2084545,The Sandman: The Dream Hunters,novella by Neil Gaiman,The Sandman. Cacciatori di sogni,fiaba scritta da Neil Gaiman
http://www.wikidata.org/entity/Q834321,Man'yōshū,"the oldest existing collection of Japanese poetry, compiled sometime after 759 AD during the Nara period.",Man'yōshū,la più antica raccolta di poesie giapponesi
http://www.wikidata.org/entity/Q3794193,Il giornalino della Domenica,Italian children's magazine,Il giornalino della Domenica,rivista italiana (1906-1927)
http://www.wikidata.org/entity/Q119622720,Roman de Fauvel,"14th centuy manuscript, treasured in the Bibliothèque Nationale de France",Roman de Fauvel,"manoscritto del XIV secolo, conservato presso la Bibliothèque Nationale de France"
