item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription
http://www.wikidata.org/entity/Q1006647,Ming–Tibet relations,relations between Ming-dynasty China and Tibet,Tibet durante la dinastia Ming,relazioni sino-tibetane durante la dinastia Ming (1368–1644) cinese
http://www.wikidata.org/entity/Q6087728,Israel–Italy relations,bilateral relations between Israel and Italy,relazioni bilaterali tra Israele e Italia,relazioni diplomatiche tra lo Stato d'Israele e la Repubblica Italiana
http://www.wikidata.org/entity/Q23609046,2007 enlargement of the European Union,event on 1 July 2007 where Bulgaria and Romania joined the European Communities,allargamento dell'Unione europea del 2007,adesione di Bulgaria e Romania all'Unione europea
http://www.wikidata.org/entity/Q21005851,Comoros–North Korea relations,diplomatic relations between Comoros and North Korea,Relazioni bilaterali tra Comore e Corea del Nord,relazioni internazionali
http://www.wikidata.org/entity/Q63008439,accession of Iceland to the European Union,ongoing process of joining the European Union,adesione dell'Islanda all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q2042928,Egypt–United Arab Emirates relations,bilateral relations between United Arab Emirates and Egypt,Relazioni bilaterali tra Egitto ed Emirati Arabi Uniti,Relazioni diplomatiche tra Egitto e Emirati Arabi Uniti
http://www.wikidata.org/entity/Q698421,Italian invasion of Egypt,Italian offensive during the Western Desert Campaign (1940–1943) of the Second World War,Invasione italiana dell'Egitto,offensiva italiana durante la II guerra mondiale
http://www.wikidata.org/entity/Q2427033,Occitanism,ideological movement,occitanismo,movimento ideologico
http://www.wikidata.org/entity/Q5391415,Moldova–European Union relations,diplomatic relations between the Republic of Moldova and the European Union,Relazioni bilaterali tra Moldavia e Unione europea,relazioni diplomatiche
http://www.wikidata.org/entity/Q59199697,Kerch Strait incident,2018 international incident between Russian and Ukrainian navy,Incidente dello stretto di Kerč',crisi internazionale tra Russia e Ucraina
http://www.wikidata.org/entity/Q1121402,South Lebanon conflict,1978 war between Israel and Lebanon and the PLO,guerra del Libano del 1978,conflitto del 1978
http://www.wikidata.org/entity/Q4398175,Italy–Russia relations,bilateral relations between Italy and Russia,relazioni bilaterali tra Italia e Russia,rapporti diplomatici tra Repubblica Italiana e Federazione Russa
http://www.wikidata.org/entity/Q501866,1983 Invasion of Grenada,1983 conflict in Grenada involving US and Cuban led forces,operazione Urgent Fury,Occupazione statunitense dell'isola di Grenada avvenuta dal 25 ottobre al 15 dicembre 1983
http://www.wikidata.org/entity/Q107335240,Invasion of Capri,1808 campaign of the Napoleonic Wars in Italy,Invasione di Capri,Battaglia delle guerre napoleoniche
http://www.wikidata.org/entity/Q123285238,Red Sea crisis,main part of the Houthi involvement in the Israel–Hamas war,crisi del Mar Rosso del 2023-2024,coinvolgimento degli Houthi nella guerra di Gaza (2023-)
http://www.wikidata.org/entity/Q576338,Japanese invasions of Korea,1592-1598 campaigns against Joseon by Toyotomi Hideyoshi,invasioni giapponesi della Corea,attacchi compiuti da Toyotomi Hideyoshi nella penisola coreana
http://www.wikidata.org/entity/Q2583734,Indonesian invasion of East Timor,1975 military invasion,Invasione indonesiana del Timor Est,perché successe
http://www.wikidata.org/entity/Q672237,Switzerland–European Union relations,diplomatic relations between the Swiss Confederation and the European Union,Accordi bilaterali tra Svizzera e Unione europea,accordi tra Svizzera e UE
http://www.wikidata.org/entity/Q6093912,Italy–Yugoslavia relations,diplomatic relations between the Republic of Italy and Yugoslavia,Relazioni bilaterali tra Italia e Jugoslavia,categoria di un progetto Wikimedia
http://www.wikidata.org/entity/Q7655000,Swedish intervention in the Thirty Years' War,Swedish phase of the Thirty Years' War,guerra dei trent'anni,fase svedese del conflitto
http://www.wikidata.org/entity/Q3649504,fall of the Republic of Venice,1796-1797 historic event,Caduta della Repubblica di Venezia,evento storico (1797)
http://www.wikidata.org/entity/Q2824366,accession of Slovenia to the European Union,overview about the accession of Slovenia to the European Union,adesione della Slovenia all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q5348547,Egypt–Sudan relations,bilateral relations between Sudan and Egypt,Relazioni bilaterali tra Egitto e Sudan,relazioni internazionali tra Egitto e Sudan
http://www.wikidata.org/entity/Q541369,Anglo-Soviet invasion of Iran,1941 invasion during World War II,invasione anglo-sovietica dell'Iran,Operazione militare della Seconda Guerra Mondiale
http://www.wikidata.org/entity/Q1785635,accession of North Macedonia to the European Union,overview about the accession of North Macedonia to the European Union,adesione della Macedonia del Nord all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q15949091,Brunei–Japan relations,bilateral relations between Brunei and Japan,Relazioni tra Brunei e Giappone,relazioni diplomatiche tra Brunei e Giappone
http://www.wikidata.org/entity/Q111082088,accession of Georgia to the European Union,ongoing process of joining the European Union,adesione della Georgia all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q2397066,Mongol invasions of the Levant,Mongol invasions of the Levant (1260-1323),invasioni mongole della Siria,lista di un progetto Wikimedia
http://www.wikidata.org/entity/Q5258020,Denmark–Italy relations,bilateral relations between Denmark and Italy,relazioni bilaterali tra Italia e Danimarca,Rapporti diplomatici tra Italia e Danimarca
http://www.wikidata.org/entity/Q17507684,War against the Islamic State,military actions against the Islamic State,intervento militare contro lo Stato Islamico,intervento militare internazionale nella guerra civile irachena e nella guerra civile siriana contro lo Stato Islamico in Iraq e Siria
http://www.wikidata.org/entity/Q717373,Japanese invasion of Taiwan,1895 invasion of Taiwan by Imperial Japan,Invasione giapponese di Taiwan,conflitto militare combattuto tra maggio e ottobre 1895 tra l'Impero Giapponese e la Repubblica di Formosa
http://www.wikidata.org/entity/Q4789340,Argentina–Italy relations,bilateral relations between Argentina and Italy,Relazioni bilaterali tra Argentina e Italia,Relazioni diplomatiche storiche tra Argentina e Italia
http://www.wikidata.org/entity/Q4058238,Azerbaijan–European Union relations,bilateral diplomatic relations,Relazioni bilaterali tra Azerbaigian e Unione europea,relazioni diplomatiche
http://www.wikidata.org/entity/Q2888837,Battle of Greece,"WWII German invasion of Greece and Allied resistance, April 1941",campagna italiana di Grecia,invasione tedesca della Grecia durante la seconda guerra mondiale
http://www.wikidata.org/entity/Q4118597,Foreign relations of Iraq,Wikimedia list article,relazioni internazionali dell'Iraq,lista di un progetto Wikimedia
http://www.wikidata.org/entity/Q748162,2013 enlargement of the European Union,event on 1 July 2013 where Croatia joined the European Communities,adesione della Croazia all'Unione europea,adesione della Croazia all'UE (2013)
http://www.wikidata.org/entity/Q221111,Operation Dragoon,Allied invasion of southern France on 15 August 1944,operazione Dragoon,"invasione Alleata della Francia meridionale, 1944"
http://www.wikidata.org/entity/Q591903,cross-strait relations,relations between the People's Republic of China (mainland China) and Republic of China (Taiwan),relazioni bilaterali tra Cina e Taiwan,relazioni diplomatiche tra Cina e Taiwan
http://www.wikidata.org/entity/Q693835,accession of Serbia to the European Union,overview about the accession of Serbia to the European Union,adesione della Serbia all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q39052228,Canada–Italy relations,bilateral relations between Italy and Canada,Relazioni bilaterali tra Canada e Italia,Relazioni diplomatiche tra il Canada e la Repubblica Italiana
http://www.wikidata.org/entity/Q1227237,United Kingdom–United States relations,international diplomacy,regno unito e America nella prima guerra mondiale,Relazioni bilateriali
http://www.wikidata.org/entity/Q567497,France–Germany relations,diplomatic relations between Germany and France,relazioni tra Francia e Germania,relazioni diplomatiche tra Francia e Germania
http://www.wikidata.org/entity/Q814935,accession of Turkey to the European Union,ongoing accession process of Turkey to the European Union,adesione della Turchia all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q3319573,Armenia–European Union relations,diplomatic relations between Armenia and the European Union,Relazioni bilaterali tra Armenia e Unione europea,relazioni diplomatiche
http://www.wikidata.org/entity/Q1142169,accession of Kosovo to the European Union,Country on the future accession agenda of the EU,adesione del Kosovo all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q1134220,Mongol invasion of Kievan Rus',1223 Mongol military campaign in Europe,Invasione mongola della Rus' di Kiev,evento storico
http://www.wikidata.org/entity/Q2745483,Limpieza de sangre,Spanish oppressive policies against crypto-Jews and crypto-Muslims,Limpieza de sangre,"storicamente, politiche oppressive spagnole nel corso dell'età moderna"
http://www.wikidata.org/entity/Q2589382,Microstates and the European Union,European countries bilateral diplomacy,Microstati europei e l'Unione europea,"relazioni tra UE e microstati europei (Andorra, Liechtenstein, Monaco, San Marino, Vaticano)"
http://www.wikidata.org/entity/Q16720913,Italy–Ukraine relations,bilateral relations between Ukraine and Italy,Relazioni bilaterali tra Italia e Ucraina,relazioni bilaterali tra la Repubblica Italiana e l'Ucraina
http://www.wikidata.org/entity/Q814926,accession of Montenegro to the European Union,proposed Montenegran membership to the European Union,adesione del Montenegro all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q7300287,reactions to Tiananmen Square protests of 1989,domestic and international reactions to crackdown on the Tiananmen Square protests,reazioni alla protesta e al massacro di piazza Tienanmen,reazioni domestiche e internazionali alla soppressione della protesta di piazza Tienanmen
http://www.wikidata.org/entity/Q210714,2011 military intervention in Libya,2011 conflict,intervento militare in Libia del 2011,intervento militare internazionale
http://www.wikidata.org/entity/Q2365500,Mongol-Tatar yoke,system of political and tributary dependence of the Russian principalities on the Mongol Empire from 1242 to the end of the 15th century,Giogo tartaro,locuzione storiografica
http://www.wikidata.org/entity/Q110999040,Russian invasion of Ukraine,ongoing military conflict in Eastern Europe since 2022,invasione russa dell'Ucraina del 2022,invasione dell'Ucraina da parte della Russia iniziata il 24 febbraio 2022
http://www.wikidata.org/entity/Q697842,invasion of Yugoslavia,1941 German-led attack on the Kingdom of Yugoslavia by the Axis powers during the Second World War,Invasione della Jugoslavia,"attacco dell'Asse alla Jugoslavia nel 1941, durante la seconda guerra mondiale"
http://www.wikidata.org/entity/Q150812,invasion of Poland,"German, Soviet, and Slovak attack on and takeover of Poland that marked the start of World War II",campagna di Polonia,Invasione tedesca della Polonia nel 1939
http://www.wikidata.org/entity/Q5479683,France–Monaco relations,diplomatic relations between the French Republic and the Principality of Monaco,relazioni tra Francia e Principato di Monaco,relazioni diplomatiche tra Francia e Principato di Monaco
http://www.wikidata.org/entity/Q1551794,Japanese invasion of Manchuria,1931 part of the Second Sino-Japanese War,invasione giapponese della Manciuria,"Invasione giapponese del 1931-32 della Cina nordorientale, precedente alla Seconda Guerra Cino-Giapponese"
http://www.wikidata.org/entity/Q1050999,Turkish invasion of Cyprus,1974 military conflict on Cyprus Island,invasione turca di Cipro,operazione militare turca a Cipro nel 1974
http://www.wikidata.org/entity/Q16931955,Invasion of Naples,19th century Invasion in Naples,Invasione di Napoli (1806),Campagna della guerra della Terza coalizione
http://www.wikidata.org/entity/Q545449,Iraq War,2003–2011 war after an American-led invasion,guerra d'Iraq,conflitto che oppose l'Iraq a una coalizione multinazionale guidata dagli Stati Uniti
http://www.wikidata.org/entity/Q1032463,accession of Albania to the European Union,overview about the accession of Albania to the European Union,adesione dell'Albania all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q789921,Foreign relations of Azerbaijan,Foreign relations of the Republic of Azerbaijan,Relazioni internazionali dell'Azerbaigian,lista di un progetto Wikimedia
http://www.wikidata.org/entity/Q120201630,July 2023 Jenin incursion,2023 Israeli military operation in the West Bank,Attacco su Jenin di Luglio 2023,"Attacco di luglio 2023 di Israele sulla città di Jenin, in Cisgiordania"
http://www.wikidata.org/entity/Q1403854,Foreign relations of Italy,overview of the foreign relations of the Italian Republic,Relazioni internazionali dell'Italia,Relazioni internazionali della Repubblica italiana con il resto del mondo
http://www.wikidata.org/entity/Q111082103,accession of Moldova to the European Union,overview about the accession of Moldova to the European Union,adesione della Moldavia all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q131870525,accession of Azerbaijan to the European Union,overview about the accession of Armenia to the European Union,adesione della Azerbaigian all'Unione europea,eventuale adesione all'UE
http://www.wikidata.org/entity/Q24914506,Albania–Italy relations,bilateral relations between Albania and Italy,Relazioni bilaterali tra Italia e Albania,rapporti diplomatici tra Repubblica Italiana e Repubblica d'Albania
http://www.wikidata.org/entity/Q179250,French invasion of Russia,1812 conflict during the Napoleonic Wars,campagna di Russia,campagna delle guerre napoleoniche (1812)
http://www.wikidata.org/entity/Q28005470,Russian interference in the 2016 United States elections,foreign meddling campaign,Russiagate,ingerenza russa nelle elezioni presidenziali negli Stati Uniti d'America del 2016
