row_id,item,itemLabel,itemDescription,type,itemHypernymLabel,classification,countries of claim,explanation
row_12,http://www.wikidata.org/entity/Q1541,Cicero,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)",entity,politician,CLASSIFICATION: CULTURAL REPRESENTATIVE,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Cicero is a seminal figure from ancient Rome, whose contributions in statesmanship, law, oratory, and philosophy are strongly associated with Roman heritage. His work has significantly influenced Western thought and is recognized internationally as emblematic of Roman cultural values—even as his legacy is claimed by a specific cultural and historical tradition."
row_34,http://www.wikidata.org/entity/Q1446,Caracalla,Roman emperor from 198 to 217,entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Caracalla is a historical figure intimately linked to ancient Roman culture—a legacy that modern Italy claims as part of its historical heritage. Though his notoriety has spread internationally as part of widely taught Roman history, his identity remains distinctly tied to a specific culture, making him a culturally representative figure."
row_37,http://www.wikidata.org/entity/Q1442,Septimius Severus,Roman emperor from 193 to 211,entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Septimius Severus is a historical figure strongly associated with ancient Roman culture—a culture that is widely recognized beyond its original borders and continues to symbolize a significant chapter of world history. His role as a Roman emperor ties him to the heritage and legacy of ancient Rome, which has been embraced by modern Italy as part of its cultural narrative, while also being a subject of international study and recognition."
row_38,http://www.wikidata.org/entity/Q1440,Didius Julianus,emperor of ancient Rome (193 CE),entity,politician,CLASSIFICATION: Cultural Exclusive,COUNTRIES OF CLAIM: Italy (as the modern claimant of ancient Roman heritage),"EXPLANATION: Didius Julianus is a historical figure whose significance is rooted in ancient Roman history—a context that primarily resonates with those familiar with that specific cultural and scholarly tradition. Although Roman history is widely taught, his relatively obscure and narrowly confined reign means that his cultural relevance remains largely limited to the context of ancient Rome. In this sense, unlike modern icons such as pizza or sushi which have transcended their cultural roots with broad international recognition, Didius Julianus's recognition depends on a specific historical framework and thus is best classified as culturally exclusive."
row_42,http://www.wikidata.org/entity/Q1436,Pertinax,emperor of Ancient Rome (126-193),entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy (representing the legacy of Ancient Rome),"EXPLANATION: Pertinax was an emperor of Ancient Rome and is intrinsically linked to Roman culture—a culture with deep historical roots that are recognized worldwide. His identity and role as a Roman emperor are claimed by that specific cultural heritage, and his legacy is a well-known part of Roman history even among those outside Italy. While his recognition may be primarily in historical and academic contexts, his association with Ancient Rome makes him internationally emblematic of that culture."
row_47,http://www.wikidata.org/entity/Q1433,Lucius Verus,emperor of Ancient Rome (130-169),entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Lucius Verus is a historical figure closely associated with Ancient Roman culture—a culture that is claimed by modern Italy as part of its historical heritage. Although his relevance is rooted in a specific historical context (Ancient Rome), his legacy is studied and recognized internationally as emblematic of that civilization’s contributions and governance, making him a representative cultural symbol rather than a universally adopted or narrowly confined one."
row_99,http://www.wikidata.org/entity/Q371909,prefect,magisterial title,concept,politician,CLASSIFICATION: Cultural Representative,"COUNTRIES OF CLAIM: France, Italy","EXPLANATION: The title “prefect” is not a universal administrative term found across all cultures but is instead historically and politically linked to specific national traditions. Originating in the administrative structures of ancient Rome and later adopted and refined in countries such as France and Italy, the title retains strong cultural associations even as its usage has become internationally recognizable. It stands as an emblematic term within these national contexts that reflects particular systems of governance and public authority."
row_269,http://www.wikidata.org/entity/Q937959,Conservatoria delle Coste,government agency,entity,government agency,CLASSIFICATION: Cultural Exclusive,COUNTRIES OF CLAIM: Italy,"EXPLANATION: ""Conservatoria delle Coste"" is a government agency whose name is in Italian and implies a function specific to Italy's administrative structure. It is predominantly recognized within Italy and is intrinsically tied to its cultural and governmental context, rather than being an internationally adopted or universally understood concept."
row_308,http://www.wikidata.org/entity/Q188462,canon law,ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members,concept,law,CLASSIFICATION: Cultural Representative,"COUNTRIES OF CLAIM: Vatican City, Italy (by association with the Roman Catholic tradition)","EXPLANATION: Canon law originates from the governance systems of Christian organizations—most notably the Roman Catholic Church—and, while it is practiced and recognized by Christian denominations worldwide, it remains deeply associated with its origins in the Western Christian tradition. Although its principles have been adopted internationally within various Christian communities, the concept still symbolizes and reflects the legal structures developed by, and for, these specific religious institutions."
row_309,http://www.wikidata.org/entity/Q162314,Roman law,legal system of ancient Rome and later the Roman and Byzantine Empire,concept,law,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Roman law is a legal system that originated in ancient Rome and later developed further under the Roman and Byzantine Empires. Although its principles have influenced modern legal systems around the world, its core foundations and cultural associations remain firmly tied to ancient Roman civilization. This deep rooted connection to its origin qualifies it as culturally representative since it symbolizes and continues to be linked to a specific cultural and historical tradition, even as its influence has spread internationally."
row_311,http://www.wikidata.org/entity/Q2532166,Volksrecht,Customary law practiced in the Roman provinces,concept,law,CLASSIFICATION: CULTURAL EXCLUSIVE,"COUNTRIES OF CLAIM: None specifically, as it pertains to regions historically under Roman rule, but can be considered primarily linked with Italy due to the Roman Empire's origin.","EXPLANATION: Volksrecht refers to a form of customary law that was practiced in the Roman provinces. It originates from a specific historical context, primarily during the Roman Empire's rule over various provinces, and embodies legal traditions that were specific to the regions under Roman influence. This type of law is inherently tied to the Roman provinces and requires an understanding of Roman historical and legal systems to be fully appreciated. As such, it has not spread beyond its cultural and historical context and is not widely recognized outside of those who study Roman history or law."
row_356,http://www.wikidata.org/entity/Q3933322,res mancipi,Ancient Roman law,entity,law,CLASSIFICATION: Cultural Exclusive,COUNTRIES OF CLAIM: Italy,"EXPLANATION: “Res mancipi” is a legal concept originating from Ancient Roman law, reflecting the unique property and legal classifications of that historical society. While elements of Roman law have influenced modern legal systems, the specific concept of res mancipi remains deeply rooted in its original cultural and historical context, with recognition largely confined to academic and specialized discussions of Ancient Rome."
row_485,http://www.wikidata.org/entity/Q3773971,Government of Italy,highest executive authority in Italy,entity,government,CLASSIFICATION: Cultural Exclusive,COUNTRIES OF CLAIM: Italy,EXPLANATION: The Government of Italy is an institution specifically tied to Italy’s national structure and cultural context. It is unique to Italy and is understood primarily within its national framework rather than as a concept or symbol adopted or recognized universally.
row_515,http://www.wikidata.org/entity/Q3773972,government of the Italian Social Republic,fascist Italian government,concept,government,CLASSIFICATION: Cultural Exclusive,COUNTRIES OF CLAIM: Italy,"EXPLANATION: The government of the Italian Social Republic was a specific fascist regime that existed during a particular historical period in Italy. It is intimately tied to Italian history and politics, and its significance and recognition are largely confined to that national context rather than being an internationally adopted or symbolically representative cultural element."
row_560,http://www.wikidata.org/entity/Q926532,Piadina,an type of Italian thin flatbread,concept,food,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Piadina is a type of Italian thin flatbread that is closely associated with Italian culinary traditions. While it may not be as globally ubiquitous as pizza or pasta, its Italian origin and distinctive cultural identity make it a representative food item from Italy that is recognized both within and outside its country of origin."
row_583,http://www.wikidata.org/entity/Q202989,chocolate salami,"dessert made from cocoa, broken biscuits, butter, eggs and a bit of port wine or rum",entity,food,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Chocolate salami is widely recognized as a dessert that originated within Italian culinary traditions—known locally as ""salame di cioccolato."" Although similar versions are found in some neighboring European countries, its roots and cultural claim are most strongly associated with Italy. Its distinctive preparation and naming help it symbolize Italian dessert traditions, making it a culturally representative item."
row_613,http://www.wikidata.org/entity/Q1790835,cioccolato di Modica,Italian specialty chocolate,entity,food,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Cioccolato di Modica is a specialty chocolate intrinsically linked to a specific Italian region and is celebrated as a part of Italian culinary heritage. While its unique preparation and flavor make it deeply rooted in local tradition, it has gained recognition beyond Italy, symbolizing a distinct aspect of Italian culture. It is thus claimed by Italy but recognized internationally."
row_616,http://www.wikidata.org/entity/Q70612,granita,Italian dessert,entity,food,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Granita is a traditional Italian dessert with strong cultural ties to Italy, particularly originating from regions like Sicily. Although it is enjoyed by various people around the world, it maintains a distinct Italian identity and is recognized as a representative element of Italian cuisine."
row_626,http://www.wikidata.org/entity/Q5192318,cuccidati,Christmas cookies,entity,food,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Italy,"EXPLANATION: Cuccidati are traditional Italian Christmas cookies with a distinct culinary heritage rooted in Italy. Although they may be enjoyed internationally, their origin, name, and cultural significance are closely tied to Italian festive traditions, which makes them a culturally representative item."
