row_id,item,itemLabel,itemDescription,type,itemHypernymLabel,classification,countries of claim,explanation
row_0,http://www.wikidata.org/entity/Q306,Sebastián Piñera,Chilean entrepreneur and politician (1949–2024),entity,politician,CLASSIFICATION: Cultural Exclusive,COUNTRIES OF CLAIM: Chile,"EXPLANATION: Sebastián Piñera is a figure whose identity and significance are tightly bound to Chile. While he may have had international exposure due to his political career, his contributions and recognition are primarily rooted in his native country and its cultural-political context, rather than representing a universally adopted concept."
row_1,http://www.wikidata.org/entity/Q12735,John Amos Comenius,"Czech teacher, educator, philosopher and writer (1592-1670)",entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Czech,"EXPLANATION: John Amos Comenius is widely acknowledged as an influential Czech educator, philosopher, and writer whose work has transcended national borders. While his educational reforms and philosophies have had international impact, his origins and cultural identity are firmly rooted in the Czech tradition. This dual significance—both as a symbol of Czech cultural heritage and as a figure of global educational influence—places him in the Cultural Representative category."
row_2,http://www.wikidata.org/entity/Q1752,Macrinus,Roman emperor from 217 to 218,entity,politician,CLASSIFICATION: Cultural Representative,,"EXPLANATION: Macrinus is a historical figure closely associated with the Roman Empire—a cultural heritage that is claimed by Italy. Although he is not a modern cultural item, his identity as a Roman emperor ties him unmistakably to the legacy"
row_3,http://www.wikidata.org/entity/Q1639,Lamine Diack,Senegalese sports manager (1933–2021),entity,politician,CLASSIFICATION: Cultural Representative,,"EXPLANATION: Lamine Diack was a Senegalese sports manager whose career and influence in global sports have earned him international recognition. At the same time, his identity and actions are deeply tied to Senegal, the country that"
row_4,http://www.wikidata.org/entity/Q9588,Richard Nixon,President of the United States from 1969 to 1974,entity,politician,CLASSIFICATION: CULTURAL REPRESENTATIVE,COUNTRIES OF CLAIM: United States,"EXPLANATION: Richard Nixon is a figure intricately tied to the United States, serving as its President and playing a significant role in American political history. His image and legacy are emblematic of U.S. political and cultural dynamics, and while his influence is recognized internationally, the association with American culture remains primary."
row_5,http://www.wikidata.org/entity/Q1625,Sigfrid Edström,Swedish industrialist and International Olympic Committee official (1870–1964),entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Sweden,"EXPLANATION: Sigfrid Edström is a figure inherently linked to Swedish heritage, given his nationality and contributions as an industrialist. His role as an International Olympic Committee official also granted him international exposure and recognition, yet he remains primarily claimed as a culturally significant figure by Sweden."
row_6,http://www.wikidata.org/entity/Q1628,"David Cecil, 6th Marquess of Exeter","English athlete, sports official, and Conservative Party politician (1905-1981)",entity,politician,CLASSIFICATION: CULTURAL EXCLUSIVE,,"EXPLANATION: David Cecil, 6th Marquess of Exeter, is a historical figure whose life and contributions are tightly bound to the cultural, sports, and political milieu of England. His recognition and significance are primarily within his country of origin, and his identity as an English athlete, sports official, and Conservative Party politician ties him specifically to English cultural and historical contexts, with limited international symbolic standing."
row_7,http://www.wikidata.org/entity/Q12706,Maxim Gorky,Russian writer (1868–1936),entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Russia,"EXPLANATION: Maxim Gorky is a figure whose identity and literary legacy are strongly tied to Russia. While his works have achieved international recognition, his contributions and cultural significance are particularly associated with Russian literature and culture."
row_8,http://www.wikidata.org/entity/Q207,George W. Bush,President of the United States from 2001 to 2009,entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: United States,"EXPLANATION: George W. Bush is widely recognized as a significant political figure due to his role as the President of the United States from 2001 to 2009. His identity is closely tied to the United States and its political culture, and while his influence is recognized internationally, the cultural association is specifically with the United States."
row_9,http://www.wikidata.org/entity/Q12702,Robert Cecil,"lawyer, politician and diplomat in the United Kingdom (1864-1958)",entity,politician,CLASSIFICATION: Cultural Exclusive,COUNTRIES OF CLAIM: United Kingdom,"EXPLANATION: This item describes a historical figure—Robert Cecil—who is primarily associated with the United Kingdom due to his work as a lawyer, politician, and diplomat. His recognition and significance are predominantly within the context of British history and culture, making him relevant mainly to that culture even though some of his contributions might have international aspects."
row_10,http://www.wikidata.org/entity/Q12696,Nitobe Inazō,"Japanese educator, agricultural economist and diplomat (1862–1933)",entity,politician,CLASSIFICATION: Cultural Representative,,"EXPLANATION: Nitobe Inazō is a historically significant figure who is inherently tied to Japan. His contributions to education, agricultural economics, and diplomacy, as well"
row_11,http://www.wikidata.org/entity/Q206,Stephen Harper,22nd prime minister of Canada from 2006 to 2015,entity,politician,CLASSIFICATION: Cultural Representative,COUNTRIES OF CLAIM: Canada,"EXPLANATION: Stephen Harper is a well-known political figure who served as the prime minister of Canada, making him closely associated with Canadian national identity. Although his role as a political leader gives him international recognition, his identity and significance are strongly tied to Canada, which aligns with the characteristics of culturally representative items."
