item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q100144393,Merman in My Tub,Japanese anime television series,Orenchi no furo jijō,serie televisiva anime,Anime,entity
Q100231000,Spriggan,1998 animated feature film,Spriggan,film del 1998 diretto da Norihiko Sudo,Anime,entity
Q100235430,Wonder Egg Priority,Japanese anime television series,Wonder Egg Priority,serie anime,Anime,entity
Q100255568,Tokyo Revengers,Japanese anime television series,Tokyo Revengers,serie anime del 2021,Anime,entity
Q100270879,"Case Closed, season 29",season of television series,ventinovesima stagione di Detective Conan,lista di episodi della ventinovesima stagione,Anime,entity
Q100272455,Strawberry Panic!,Japanese anime television series,Strawberry Panic!,serie televisiva anime,Anime,entity
Q100272968,Smile Down the Runway,Japanese anime television series,Smile Down the Runway,serie anime,Anime,entity
Q100317334,Tsugumomo,Japanese anime television series,Tsugumomo,serie anime,Anime,entity
Q100320850,Pokémon the Movie: White—Victini and Zekrom,2011 anime film directed by Kunihiko Yuyama,Il film Pokémon: Bianco - Victini e Zekrom,film di animazione del 2011 diretto da Kunihiko Yuyama,Anime,entity
Q100328620,Shōjotachi wa Kōya o Mezasu,Japanese anime television series,Le ragazze anelano alla landa selvaggia,serie televisiva anime,Anime,entity
Q1004318,Fullmetal Alchemist: The Sacred Star of Milos,2011 anime film by Kazuya Murata,Fullmetal Alchemist - La sacra stella di Milos,film anime del 2011 basato sulla serie manga e anime Fullmetal Alchemist,Anime,entity
Q100468914,Hidamari Sketch,Japanese anime television series,Hidamari sketch,serie anime,Anime,entity
Q100561975,Castle Town Dandelion,Japanese anime television series,Jōkamachi no Dandelion,serie televisiva anime,Anime,entity
Q100595898,Gintama: The Final,2021 film directed by Chizuru Miyawaki,Gintama the Movie: The Final,film del 2021 diretto da Chizuru Miyawaki,Anime,entity
Q100743087,Minami Kamakura High School Girls Cycling Club,Japanese anime television series,Minami Kamakura High School Girls Cycling Club,serie anime,Anime,entity
Q100743255,Alice & Zoroku,Japanese anime television series,Alice & Zoroku,serie anime,Anime,entity
Q100770690,Our Last Crusade or the Rise of a New World,Japanese anime television series,Our Last Crusade or the Rise of a New World,serie televisiva anime,Anime,entity
Q100774832,Boruto,Japanese anime television series,Boruto: Naruto Next Generations,serie anime,Anime,entity
Q100868587,Shaman King,2001 Japanese anime television series,Episodi di Shaman King (2001),lista di un progetto Wikimedia,Anime,entity
Q100868588,Shaman King,2021 Japanese anime television series,episodi di Shaman King (2021),lista di un progetto Wikimedia,Anime,entity
Q100871209,Kamen no Maid Guy,Japanese anime television series,Kamen no Maid Guy,serie anime,Anime,entity
Q100910749,Slam Dunk,Japanese anime television series,Slam Dunk,serie televisiva anime giapponese,Anime,entity
Q100976117,Btooom!,Japanese anime television series,Btooom!,serie anime,Anime,entity
Q100976283,D-Frag!,Japanese anime television series,D-Frag!,serie televisiva anime,Anime,entity
Q100977481,Godzilla Singular Point,Japanese anime television series,Godzilla - Punto di singolarità,serie animata giapponese del 2021,Anime,entity
Q100988473,Code:Breaker,Japanese anime television series,Code: Breaker,serie anime,Anime,entity
Q101079462,Redo of Healer,Japanese anime television series,Redo of Healer,serie anime,Anime,entity
Q101086340,Saint Seiya: Saintia Shō,Japanese ONA series,Saint Seiya Saintia Sho,serie ONA,Anime,entity
Q101129923,"No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!",Japanese anime television series,Watashi ga motenai no wa dō kangaetemo omaera ga warui!,serie anime,Anime,entity
Q101155037,"Don't Toy With Me, Miss Nagatoro",Japanese anime television series,"Don't Toy With Me, Miss Nagatoro",serie anime,Anime,entity
Q101230845,Ōsama Ranking,Japanese anime television series,Ranking of Kings,serie televisiva anime del 2021,Anime,entity
Q1013804,Metal Armor Dragonar,Japanese anime television series,Metal Armor Dragonar,serie anime,Anime,entity
Q1013851,Key the Metal Idol,1994 original video animation anime series directed by Hiroaki Sato,Key the Metal Idol,serie OAV,Anime,entity
Q1013881,Miami Guns,Japanese manga series,Miami Guns,serie di manga,Anime,entity
Q101422118,Bobobo-bo Bo-bobo,Japanese anime television series,Bobobo-bo Bo-bobo,anime giapponese,Anime,entity
Q101440909,Re-Kan!,Japanese anime television series,Re-Kan!,serie televisiva anime,Anime,entity
Q101863729,Doraemon: Nobita's Little Star Wars 2021,2022 film directed by Susumu Yamaguchi,Doraemon - Il film: Nobita e le piccole guerre stellari 2021,film d'animazione giapponese del 2022,Anime,entity
Q101970684,"If My Favorite Pop Idol Made It to the Budokan, I Would Die",Japanese anime television series,"Se la mia idol preferita arrivasse al Budokan, morirei",serie anime,Anime,entity
Q101997768,The Hidden Dungeon Only I Can Enter,Japanese anime television series,The Hidden Dungeon Only I Can Enter,serie televisiva anime,Anime,entity
Q102126892,Mushoku Tensei,Japanese anime television series,Mushoku Tensei,serie anime,Anime,entity
Q102175392,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Japanese anime television series,DanMachi,serie anime,Anime,entity
Q102176484,Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,Japanese anime television series,DanMachi: Sword Oratoria,serie anime,Anime,entity
Q1022109,Xam'd: Lost Memories,Japanese ONA series,Xam'd: Lost Memories,serie di manga,Anime,entity
