item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q101929,immunology,branch of medicine studying the immune system,immunologia,branca della biologia che studia il sistema immunitario,Biology,entity
Q111593131,vulvoplasty,any surgical procedure that results in the construction or reconstruction of the vulva,vulvoplastica,qualsiasi procedura chirurgica che comporta la costruzione o ricostruzione della vulva,Biology,entity
Q1123139,ketosis,energy production using stored body fats as fuel when carbohydrates are not available,chetosi,malattia,Biology,entity
Q1130698,hydrobiology,science of life and life processes in water,idrobiologia,scienza della vita e dei processi vitali nell'acqua,Biology,entity
Q1138244,phytosociology,branch of ecology studying plant communities,fitosociologia,"branca della geobotanica, o fitogeografia, che consente di utilizzare le comunità vegetali",Biology,entity
Q1152227,pharmacogenomics,study of the role of the genome in drug response,Farmacogenomica,branca della biologia che studia gli effetti di un farmaco su individui portatori di un particolare genotipo,Biology,entity
Q1154231,cytochemistry,branch of cell biology,citochimica,branca della chimica che studia la chimica della cellula,Biology,entity
Q1154774,electrophysiology,study of the electrical properties of biological cells and tissues,elettrofisiologia,"branca della fisiologia che ha come studio il funzionamento dell'organismo dal punto di vista elettrico, sia in condizioni fisiologiche normali sia sotto l'influsso di un potenziale elettrico esterno.",Biology,entity
Q115926971,brainstem auditory evoked potential,electrophysiological assessment of auditory system synchrony,potenziale evocato uditivo del tronco encefalico,valutazione elettrofisiologica della sincronia del sistema uditivo,Biology,entity
Q121176,nursing,caring for people who are sick or injured,assistenza infermieristica,"attività relativa all'assistenza terapeutica, riabilitativa e preventiva rivolta all'individuo sia sani o malati",Biology,entity
Q12156616,Bühlmann decompression algorithm,algorithm for modelling of inert gases entering and leaving body tissues as pressure changes,Algoritmo Buhlmann,algoritmo di decompressione,Biology,entity
Q128406,pharmacology,branch of biology concerning drugs,farmacologia,branca della biologia che studia i farmaci,Biology,entity
Q128570,bioinformatics,"computational analysis of large, complex sets of biological data",bioinformatica,"branca della biologia che si occupa di raccogliere, archiviare ed analizzare mediante banche dati informazioni biologiche",Biology,entity
Q1297776,organology,branch of biology,organologia,branca della biologia,Biology,entity
Q130273498,distortion product evoked otoacoustic emissions,assessment of the integrity of outer hair cells as a result of cochlear nonlinearity by two-tone stimulation of specific frequency stimuli,emissioni otoacustiche evocate da prodotto di distorsione,valutazione dell'integrità delle cellule ciliate esterne come risultato della non linearità cocleare mediante stimolazione bitonale di stimoli a frequenze specifiche,Biology,entity
Q130301413,cochlear microphonic,electrophysiological response generated by the outer hair cells of the cochlea in response to sound,microfonismo cocleare,risposta elettrofisiologica generata dalle cellule ciliate esterne della coclea in risposta al suono,Biology,entity
Q131683,embryology,branch of biology studying prenatal biology,embriologia,branca della biologia che studia l'embrione,Biology,entity
Q1323756,ectoplasm,part of a cell's cytoplasm,ectoplasma,strato del citoplasma cellulare,Biology,entity
Q1346452,nutrigenomics,"science studying the relationship between human genome, nutrition and health",nutrigenomica,Scienza che studia il rapporto tra genoma e dieta,Biology,entity
Q1429339,quantum biology,application of quantum mechanics and theoretical chemistry to biological objects and problems,biologia quantistica,branca della biologia,Biology,entity
Q1458822,cultural ecology,study of human adaptation to social and physical environments,ecologia culturale,disciplina accademica,Biology,entity
Q1478954,Three Sisters,main agricultural crops of various Native American groups in North America,Tre sorelle,Tecnica di coltivazione tradizionale dell'America centro-settentrionale,Biology,entity
Q1498375,countertransference,relational aspect of psychoanalysis,controtransfert,reazione dello psicoanalista al transfert del paziente,Biology,entity
Q1537534,vaginoplasty,any surgical procedure that results in the construction or reconstruction of the vagina,vaginoplastica,qualsiasi procedura chirurgica che comporta la costruzione o ricostruzione della vagina,Biology,entity
Q1562684,satiety,opposite of hunger,sazietà,contrario di fame,Biology,entity
Q1578310,paleobiology,"science that studies the origin, evolution, way of life of animals and plants of past geological periods",paleobiologia,disciplina biologica che studia le condizioni di vita delle piante e degli animali estinti,Biology,entity
Q158666,omics,suffix indicating study of all objects of a type (e.g. all genes in a genome),-omica,suffisso usato in biologia molecolare,Biology,entity
Q162606,endocrinology,medical specialty; branch of science concerned with the study of hormones,endocrinologia,specializzazione medica,Biology,entity
Q17077315,gut–brain axis,biochemical signaling that takes place between the gastrointestinal tract (GI tract) and the central nervous system,psicobiotica,studio del collegamento fra microbioma intestinale e neuroscienze,Biology,entity
Q1735503,castration anxiety,fear of emasculation in both the literal and metaphorical sense,complesso di castrazione,concetto psicoanalitico relativo all'angoscia di castrazione,Biology,entity
Q174416,herpetology,study of amphibians and reptiles,erpetologia,branca della zoologia che studia i rettili,Biology,entity
Q1752305,electrotherapy,use of electricity for medical purposes,elettroterapia,diadinamiche correnti,Biology,entity
Q1772402,zero waste,philosophy that encourages the redesign of resource life cycles so that all products are reused,Rifiuti Zero,Strategia di gestione dei rifiuti,Biology,entity
Q180502,parasitology,"branch of biology that studies parasites, their hosts, and the relationship between them",parassitologia,"disciplina biomedica che si occupa dello studio del ciclo biologico degli organismi parassiti dell'uomo e degli altri animali, con risvolti di notevole importanza in ambito sia medico, sia veterinario",Biology,entity
Q181923,attention deficit hyperactivity disorder,neurodevelopmental disorder,disturbo da deficit di attenzione e iperattività,disturbo del neurosviluppo,Biology,entity
Q183252,morphology,study of external forms and structures of organisms,morfologia,branca della biologia che studia la forma degli organismi viventi,Biology,entity
Q188391,phycology,branch of botany concerned with the study of algae,algologia,branca della botanica che studia le alghe,Biology,entity
Q1889215,phalloplasty,operation to construct or reconstruct a penis,falloplastica,operazione chirurgica di costruzione o ricostruzione peniena,Biology,entity
Q188956,plant pathology,scientific study of plant diseases,patologia vegetale,disciplina che studia le malattie delle piante,Biology,entity
Q1898509,neontology,branch of biology that studies living organisms,neontologia,ramo della biologia che studia gli organismi viventi,Biology,entity
Q190979,arachnology,scientific study of arachnids (spiders and related animals),aracnologia,branca della zoologia che studia gli aracnidi,Biology,entity
Q190993,malacology,study of the Mollusca,malacologia,studio dei molluschi,Biology,entity
Q192658,dendrology,the study of trees and other woody plants,dendrologia,Disciplina specifica dedicata alle piante che producono legno,Biology,entity
Q192694,paleobotany,branch of botany and paleontology,paleobotanica,branca della botanica,Biology,entity
Q193378,biomechanics,study of the structure and function of the mechanical aspects of biological systems,biomeccanica,branca della biologia che studia i meccanismi delle strutture fisiologiche degli organismi viventi,Biology,entity
Q1968653,chondrolaryngoplasty,surgical procedure,Condrolaringoplastica,intervento chirurgico,Biology,entity
Q1980387,protozoology,study of Protozoa,protozoologia,branca della zoologia che studia i protozoi,Biology,entity
