item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q100406335,À travers l'Atlantique: journal de bord de la Nubienne dans son voyage au Canada et aux États-Unis,book,À travers l'Atlantique: journal de bord de la Nubienne dans son voyage au Canada et aux États-Unis,libro,Books,entity
Q100600946,The Manœuvring Mother,book,The Manoeuvring Mother,libro,Books,entity
Q100632388,More Better Deals,novel by Joe R. Lansdale,Una Cadillac rosso fuoco,romanzo di Joe R. Lansdale,Books,entity
Q101098415,Amitiés etrangères : (voyages et rencontres),individual book,Amitiés etrangères : (voyages et rencontres),libro,Books,entity
Q101109848,L'Astre d'épouvante,individual book,L'Astre d'épouvante,libro,Books,entity
Q101110071,Les Atomes,individual book,Les Atomes,libro,Books,entity
Q101110299,Au Château des Loups Rouges,individual book,Au Château des Loups Rouges,libro,Books,entity
Q101111403,Amour d'automne,individual book,Amour d'automne,libro,Books,entity
Q101112076,Au Coeur de la Vie,individual book,Au Coeur de la Vie,libro,Books,entity
Q101112713,Au pays des Elisabeth,individual book,Au pays des Elisabeth,libro,Books,entity
Q101112874,Autour du Pelvoux,individual book,Autour du Pelvoux,libro,Books,entity
Q101113044,L' autre côté: contes insolites,individual book,L' autre côté: contes insolites,libro,Books,entity
Q101116182,Amour étrusque,individual book,Amour étrusque,libro,Books,entity
Q101117664,L'amour impossible: La Bague d'Annibal,individual book,L'amour impossible: La Bague d'Annibal,libro,Books,entity
Q101119547,Les amoureuses de Paris,individual book,Les amoureuses de Paris,libro,Books,entity
Q101119833,Les amours d'Elisabeth d'Angleterre,individual book,Les amours d'Elisabeth d'Angleterre,libro,Books,entity
Q101120290,"Amyntas : Mopsus, Feuilles de route, De Biskra a Touggourt, Le renoncement au voyage",individual book,"Amyntas : Mopsus, Feuilles de route, De Biskra a Touggourt, Le renoncement au voyage",libro,Books,entity
Q101120535,L'an prochain à Jérusalem,individual book,L'an prochain à Jérusalem,libro,Books,entity
Q101121497,Au Pays de la Mort Blanche,individual book,Au Pays de la Mort Blanche,libro,Books,entity
Q101125588,La Brière,book,La Brière,libro,Books,entity
Q101125734,The Avatar,book,L'Avatar,libro,Books,entity
Q101132047,Andromède et le monstre,book,Andromède et le monstre,libro,Books,entity
