item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q1001148,Demian Syndrome,Japanese manga series,Demian Shokogun,serie di manga,Comics,entity
Q1002695,Karakuri Circus,Japanese manga series,Karakuri Circus,manga di Kazuhiro Fujita,Comics,entity
Q100271035,Cyberpunk 2077: Trauma Team,comic book series,Cyberpunk 2077: Trauma Team,comic book,Comics,entity
Q100272454,Strawberry Panic!,Japanese manga series,Strawberry Panic!,manga scritto da Sakurako Kimino e disegnato da Namuchi Takumi,Comics,entity
Q1005239,Superior,Japanese manga series,Superior,Serie manga giapponese,Comics,entity
Q1005595,Oretama,Japanese manga series,Le mie palle - Proteggerò la mia terra?,manga giapponese di Shigemitsu Harada,Comics,entity
Q100770689,Our Last Crusade or the Rise of a New World,Japanese manga series,Our Last Crusade or the Rise of a New World,serie di manga,Comics,entity
Q100774936,Boruto,Japanese manga series,Boruto: Naruto Next Generations,serie di manga,Comics,entity
Q100807599,O Maidens in Your Savage Season,Manga series by Mari Okada from Kodansha and Kodansha USA published in Bessatsu Shōnen Magazine from Japan,Savage Season,serie di manga,Comics,entity
Q10085467,Gon,manga,Gon,manga,Comics,entity
Q1010574,Otaku no Musume-san,Japanese manga series,La figlia dell'otaku,serie di manga,Comics,entity
Q101079461,Redo of Healer,Japanese manga series,Redo of Healer,serie di manga,Comics,entity
Q101100537,A Terrified Teacher at Ghoul School!,Japanese manga series,Yōkai gakkō no sensei hajimemashita!,manga di Mai Tanaka,Comics,entity
Q101209152,The Idaten Deities Know Only Peace,Japanese manga series,The Idaten Deities Know Only Peace,serie di manga,Comics,entity
Q101244838,I'm in Love with the Villainess,Japanese manga series,I'm in Love with the Villainess,serie di manga,Comics,entity
Q1013881,Miami Guns,Japanese manga series,Miami Guns,serie di manga,Comics,entity
Q101413411,After Hours,Japanese comic,Tokyo: After Hours,manga scritto e disegnato da Yuhta Nishio,Comics,entity
Q101426395,Tenkū Shinpan Arive,Japanese manga series,Tenkū shinpan arrive,manga di Tsuina Miura e Takahiro Oba,Comics,entity
Q101442924,Kawaii dake ja Nai Shikimori-san,Japanese manga series,Shikimori's Not Just a Cutie,manga scritto e disegnato da Keigo Maki,Comics,entity
Q101997765,The Hidden Dungeon Only I Can Enter,Japanese manga series,The Hidden Dungeon Only I Can Enter,serie di manga,Comics,entity
Q102021740,My Stepmom's Daughter Is My Ex,Japanese manga series,My Stepmom's Daughter Is My Ex,serie di manga,Comics,entity
Q102126884,Mushoku Tensei,Japanese manga series,Mushoku Tensei,serie di manga,Comics,entity
Q102166294,Sasaki and Miyano,Japanese manga series,Sasaki e Miyano,manga di Shō Harusono,Comics,entity
Q102175390,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Japanese manga series,DanMachi,manga di Kunieda,Comics,entity
Q102176483,Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side: Sword Oratoria,Japanese manga series,DanMachi: Sword Oratoria,serie di manga,Comics,entity
Q1022109,Xam'd: Lost Memories,Japanese ONA series,Xam'd: Lost Memories,serie di manga,Comics,entity
Q102231027,Asadora!,manga series by Naoki Urasawa,Asadora!,manga scritto e disegnato da Naoki Urasawa,Comics,entity
Q102249010,Kubo Won't Let Me Be Invisible,Japanese manga series,Kubo-san wa mob o yurusanai,manga scritto e disegnato da Nene Yukimori,Comics,entity
Q102249646,Me & Roboco,Japanese manga series,Me & Roboco,serie di manga,Comics,entity
Q102254026,Dead Mount Death Play,Japanese manga series,Dead Mount Death Play,manga scritto da Ryōgo Narita e disegnato da Shinta Fujimoto,Comics,entity
Q102254282,Ragna Crimson,Japanese manga series,Ragna Crimson,manga scritto e disegnato da Daiki Kobayashi,Comics,entity
Q102350897,Nora to Zassō,Japanese manga series,Randagi,manga del 2018 di Keigo Shinzō,Comics,entity
Q10261764,Crock,comic strip,Crock,Personaggio immaginario protagonista dell'omonima serie a fumetti,Comics,entity
Q1026931,Franken Fran,Japanese manga series,Franken Fran,Manga giapponese,Comics,entity
Q1027027,Epotoransu! Mai,Japanese manga series,Epotoransu! Mai,manga,Comics,entity
Q1029999,The Master of the Mississippi,chapter 2 of The Life and Times of Scrooge McDuck,Il signore del Mississippi,"capitolo della ""Saga di Paperon de' Paperoni"" di Don Rosa",Comics,entity
Q10318224,Justice League of America,comic book series,Justice League,serie a fumetti DC Comics,Comics,entity
Q1032337,The Big Fat Kill,comic,Un'abbuffata di morte,miniserie a fumetti,Comics,entity
Q1033127,What's Michael?,manga,What's Michael?,serie di manga,Comics,entity
Q1033328,Ao Haru Ride,Japanese manga series,Ao haru ride - A un passo da te,Manga shōjo scritto e disegnato da Io Sakisaka,Comics,entity
Q1033470,Hana to Yume,Japanese manga magazine,Hana to yume,rivista shōjo manga pubblicata in Giappone dalla casa editrice Hakusensha,Comics,entity
Q103411,V for Vendetta,graphic novel by Alan Moore and David Lloyd,V for Vendetta,miniserie a fumetti,Comics,entity
Q1037243,Young Gangan,manga magazine,Young Gangan,rivista giapponese di manga,Comics,entity
Q103888159,Kaiju No. 8,Japanese manga series,Kaiju No. 8,manga scritto e disegnato da Naoya Matsumoto,Comics,entity
Q104145203,Harem in the Labyrinth of Another World,Japanese manga series,L'harem alla fine dei mondi,serie di manga,Comics,entity
Q104215692,Phantom Seer,Japanese manga series,Phantom Seer,serie di manga,Comics,entity
Q104414179,Daiku no Hatō,Japanese manga series,Daiku no hatō,serie di manga,Comics,entity
Q1045045,Solanin,Japanese manga series,Solanin,manga di Inio Asano,Comics,entity
Q104527055,H.P. Lovecraft's At the Mountains of Madness,manga,Le montagne della follia,manga di Gō Tanabe,Comics,entity
Q1045285,Chocotto Sister,Japanese manga series,Chocotto Sister,manga scritto da Go Zappa e disegnato da Sakura Takeuchi,Comics,entity
Q104679780,Shōnen no Abyss,Japanese manga series and Drama Series,Boy's Abyss,manga scritto e disegnato da Ryō Minenami,Comics,entity
Q1046959,Nodame Cantabile,Japanese manga series,Nodame Cantabile,manga di Tomoko Ninomiya,Comics,entity
Q104707679,Shangri-La Frontier,Japanese manga series,Shangri-La Frontier,serie manga giapponese,Comics,entity
Q1048144,World War Hulk,2007 limited series comic book by Marvel Comics,World War Hulk,Miniserie a fumetti della Marvel Comics,Comics,entity
Q1049048,Ao no Fūin,Japanese manga series,Il sigillo azzurro,serie di manga,Comics,entity
Q104965708,Asoko de Hataraku Musubu-san,Japanese manga series,Il duro lavoro di Musubu,manga di Taishi Mori,Comics,entity
Q1049725,Carnival Phantasm,Japanese manga series,Carnival Phantasm,Serie d'animazione giapponese del 2011,Comics,entity
Q1049771,Ōoku: The Inner Chambers,Japanese manga series,Ōoku - Le stanze proibite,manga di Fumi Yoshinaga,Comics,entity
Q1049825,Arata: The Legend,Japanese manga series,La leggenda di Arata,manga di Yū Watase e anime del 2013,Comics,entity
Q1050266,Gakuen Alice,Japanese manga series,Alice Academy,manga di Higuchi Tachibana,Comics,entity
Q1050496,I.O.N,manga,I.O.N.,Manga,Comics,entity
Q105087026,Sakamoto Days,Japanese manga series,Sakamoto Days,manga scritto e disegnato da Yuto Suzuki,Comics,entity
Q105100021,The Girl I Like Forgot Her Glasses,Japanese manga series,The Girl I Like Forgot Her Glasses,serie di manga,Comics,entity
Q105100468,The Elusive Samurai,Japanese manga series,The Elusive Samurai,manga scritto e disegnato da Yūsei Matsui,Comics,entity
Q105173156,No Game No Life,Japanese manga series,No Game No Life,"serie manga giapponese, adattamento della serie di light novel omonima",Comics,entity
Q105226167,The Duke of Death and His Maid,Japanese manga series,Il duca della morte e la domestica oscura,manga di Koharu Inoue,Comics,entity
Q1052859,Junjo Romantica: Pure Romance,yaoi manga series by Shungiku Nakamura,Junjō romantica,manga di Shungiku Nakamura,Comics,entity
Q1052908,Strawberry 100%,Japanese manga series,100% Fragola,serie di manga,Comics,entity
Q105297464,Kekko Kamen,1974-1978 manga series,Kekko Kamen,serie di manga,Comics,entity
Q1053317,Kimagure Orange Road,Japanese manga series,Orange Road,manga scritto e disegnato da Izumi Matsumoto,Comics,entity
Q105337230,Noucome,Japanese manga series,"Ore no nōnai sentakushi ga, gakuen love come o zenryoku de jama shiteiru",serie di manga,Comics,entity
Q105343096,Lord Marksman and Vanadis,Japanese manga series,Madan no ō to Vanadis,serie di manga,Comics,entity
Q105350587,Oreshura,Japanese manga series,Oreshura,serie di manga,Comics,entity
Q105401152,Kanokon,Japanese manga series,Kanokon,serie di manga,Comics,entity
Q105427061,Heaven's Memo Pad,Japanese manga series,Kami-sama no memo-chō,serie manga,Comics,entity
Q1054474,Ozanari Dungeon,manga,Ozanari Dungeon,serie di manga,Comics,entity
Q1054866,Double-Fake: Under the Gundam,manga,Double-fake: under the Gundam,serie di manga,Comics,entity
Q1054986,Nanako SOS,manga,Nanako SOS,manga e anime di Hideo Azuma,Comics,entity
Q1055033,Batman: Legends of the Dark Knight,comic book,Legends of the Dark Knight,serie a fumetti DC Comics,Comics,entity
Q1055370,Mushishi,Japanese manga series,Mushishi,manga scritto e disegnato da Yuki Urushibara,Comics,entity
Q105562947,Zom 100: Bucket List of the Dead,Japanese manga series,Zombie 100 - Cento cose da fare prima di non-morire,manga scritto da Haro Asō e disegnato da Kotaro Takata,Comics,entity
Q105602571,The Detective is Already Dead,Japanese manga series,"Tantei wa mō, shinde iru.",serie di manga,Comics,entity
Q1057361,The Heart of Thomas,Japanese manga series by Moto Hagio,Il cuore di Thomas,manga di Moto Hagio,Comics,entity
Q105751948,The Eminence in Shadow,Japanese manga series,The Eminence in Shadow,manga scritto da Daisuke Aizawa e disegnato da Anri Sakano,Comics,entity
Q105751949,The Eminence in Shadow: Shadow Side Story,Japanese manga series,The Eminence in Shadow: Shadow Side Story,manga scritto e disegnato da Seta U,Comics,entity
Q105758756,Absolute Duo,Japanese manga series,Absolute Duo,serie manga,Comics,entity
Q105758757,Absolute Duo Tea Party,Japanese manga series,Absolute Duo Tea Party,serie di manga,Comics,entity
Q1057617,Gantz,Japanese manga series,Gantz,manga scritto e disegnato da Hiroya Oku,Comics,entity
Q105762136,Kaze no Stigma: Kōen no Miko,Japanese manga series,Kaze no stigma,serie manga,Comics,entity
Q105763675,Parallel World Pharmacy,Japanese manga series,Parallel World Pharmacy,serie di manga,Comics,entity
Q105771948,Denpa Onna to Seishun Otoko,Japanese manga series,Denpa onna to seishun otoko,serie di manga,Comics,entity
Q105775334,Sabikui Bisco,Japanese manga series,Sabikui Bisco,manga del 2019,Comics,entity
Q105824258,Nine Dragons' Ball Parade,Japanese manga series,Kowloon's Ball Parade,manga spokon scritto da Mikiyasu Kamada e disegnato da Ashibi Fukui,Comics,entity
Q1058984,Kingdom,Japanese manga series,Kingdom,manga di Yasuhisa Hara,Comics,entity
Q105908482,Haiyore! Nyaruko-san,Japanese manga series,Haiyore! Nyaruko-san,serie di manga,Comics,entity
Q105970664,My Androgynous Boyfriend,Japanese manga series by Tamekou,My Genderless Boyfriend,manga di Tamekou,Comics,entity
Q105987955,Irina: The Vampire Cosmonaut,Japanese manga series,Tsuki to Laika to Nosferatu,serie di manga,Comics,entity
Q1060036,Kobato,Japanese manga series,Kobato.,manga delle CLAMP,Comics,entity
Q1060045,Gyo,manga by Junji Ito,Gyo - Odore di morte,serie di manga,Comics,entity
Q106028640,Hundred: Radiant Red Rose,Japanese manga series,Hundred: Radiant Red Rose,serie di manga,Comics,entity
Q106072128,Rokka no Yūsha,Japanese manga series,Rokka: Braves of the Six Flowers,serie di manga,Comics,entity
Q106080227,Clockwork Planet,Japanese manga series,Clockwork Planet,serie di manga,Comics,entity
Q106090656,The Apothecary Diaries,Japanese manga series,I diari della speziale,manga di Itsuki Nanao e Nekokurage,Comics,entity
Q106091435,My Hero Academia: Vigilantes,Japanese manga series,Vigilante: My Hero Academia Illegals,serie di manga,Comics,entity
Q106093781,The Café Terrace and Its Goddesses,Japanese manga series,The Café Terrace and Its Goddesses,serie di manga,Comics,entity
Q106093793,Kotarō wa Hitorigurashi,Japanese manga series,Kotaro abita da solo,manga scritto e disegnato da Mami Tsumura,Comics,entity
Q106093823,"Go With the Clouds, North by Northwest",Japanese manga series,Nuvole a nord-ovest,manga scritto e disegnato da Aki Irie,Comics,entity
