item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q10379733,gyaru,"Japanese fashion subculture; transliteration of the English slang word 'gal' (""girl"")",Gyaru,moda abituale giapponese,Fashion,entity
Q1040465,hipster,contemporary subculture defined by claims to authenticity and uniqueness,hipster,sottocultura contemporanea,Fashion,entity
Q11237484,Lolita fashion,fashion subculture originating in Japan,Moda Lolita,moda d'abbigliamento,Fashion,entity
Q17162840,radical chic,people identifying themselves as socialists or radical leftists while conducting upper-class lifestyles,radical chic,espressione idiomatica mutuata dall'inglese,Fashion,entity
Q1973161,whale tail,"Y-shaped waistband of a thong or G-string when visible above the waistline of low-rise jeans, shorts, or a skirt that resembles a whale's tail",Whale-tail,"una sottoforma dell'intimo femminile conosciuto come ""coda balena""; cintura a forma di Y o T di un perizoma",Fashion,entity
Q2104919,gothic fashion,"clothing style marked by dark, mysterious, antiquated and homogeneous features",moda gotica,modo di abbigliarsi,Fashion,entity
Q243697,geek,expert or enthusiast obsessed with a hobby or intellectual pursuit often related to science and computers,geek,esperto o amante di un hobby o di un'attività,Fashion,entity
Q250160,Ganguro,Japanese fashion trend,Ganguro,moda,Fashion,entity
Q4866582,hipster,American 1940s subculture,hipster,sottocultura degli anni 1940 negli Stati Uniti d'America,Fashion,entity
Q583454,chic,element of fashion,Chic,termine francese che denota eleganza o stile,Fashion,entity
Q799905,sagging,manner of wearing pants,Sagging,moda,Fashion,entity
Q196877,zettai ryōiki,area of bare skin in the gap between overknee socks and a miniskirt or shorts,zettai ryōiki,zona della coscia delimitata da calze alte e gonna corta o pantaloncini,Fashion,concept
Q1070623,Victorian fashion,fashions and trends in British culture during the Victorian era,moda vittoriana,moda sviluppatasi durante tutta l'età vittoriana (1830-1900),Fashion,concept
Q6672,French fashion,fashion from France,moda francese,importante industria francese,Fashion,concept
Q3231404,fast fashion,"retail concept for moving clothing from the catwalk to consumers quickly, with rapid turnover of product",fast fashion,tecnica di vendita al dettaglio che prevede un rapido ricambio di prodotti,Fashion,concept
Q23793840,Modest fashion,fashion trend in women of wearing less skin-revealing clothes,Modest fashion,abbigliamento sobrio,Fashion,concept
Q56322191,kitsuke,fashion,Kitsuke,tecnica giapponese della vestizione del kimono,Fashion,concept
