item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q1000826,Guns of the Magnificent Seven,1969 film by Paul Wendkos,Le pistole dei magnifici sette,film del 1969 diretto da Paul Wendkos,Films,entity
Q1001065,En la sombra,1917 film,En la sombra,film del 1917,Films,entity
Q1001102,The Rat Savior,1976 film by Krsto Papić,Il ratto salvatore,film del 1976 diretto da Krsto Papić,Films,entity
Q1001400,Ukraine on Fire,documentary propaganda film directed by Igor Lopatonok (2016),Ukraine on Fire,"film del 2016 diretto da Igor' Lopatënok, Ben Bywater",Films,entity
Q100156260,Freaks Out,2021 film directed by Gabriele Mainetti,Freaks Out,film del 2021 diretto da Gabriele Mainetti,Films,entity
Q100166522,The Binding,2020 film directed by Domenico Emanuele de Feudis,Il legame,film del 2020 diretto da Domenico de Feudis,Films,entity
Q1001759,Fist of Legend,1994 film by Gordon Chan,Fist of Legend,film del 1994 diretto da Yuen Woo-ping e Gordon Chan,Films,entity
Q100178823,The Wheel of Khadi - The Warp and Weft of India,2019 film by Gaia Ceriana Franchetti,La ruota del Khadi - L'ordito e la trama dell'India,film documentario del 2019 diretto da Gaia Ceriana Franchetti,Films,entity
Q1001863,Chronicle of an Escape,2005 film by Adrián Caetano,Cronaca di una fuga - Buenos Aires 1977,film del 2006 diretto da Adrián Caetano,Films,entity
Q1001922,Buffalo Bill in Rome,1950 film by Giuseppe Accattino,Buffalo Bill a Roma,film del 1950 diretto da Giuseppe Accattino,Films,entity
Q1001943,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976 film by Robert Altman,Buffalo Bill e gli indiani,film del 1976 diretto da Robert Altman,Films,entity
Q1001996,Buffalo Dance,1894 film,Buffalo Dance,film del 1894,Films,entity
Q1002100,Miracle at St. Anna,2008 film directed by Spike Lee,Miracolo a Sant'Anna,"film del 2008, diretto da Spike Lee",Films,entity
Q1002142,Buffalo '66,1998 film by Vincent Gallo,Buffalo '66,film del 1998 diretto da Vincent Gallo,Films,entity
Q100215065,Speechless,short film,Speechless,film del 2019,Films,entity
Q1002251,Bug,2006 film directed by William Friedkin,Bug - La paranoia è contagiosa,film del 2006 diretto da William Friedkin,Films,entity
Q100231000,Spriggan,1998 animated feature film,Spriggan,film del 1998 diretto da Norihiko Sudo,Films,entity
Q100232971,What We Wanted,2020 film by Ulrike Kofler,La vita che volevamo,film del 2020 diretto da Ulrike Kofler,Films,entity
Q100233511,Umma,2022 film directed by Iris K. Shim,Umma,film statunitense del 2022 diretto da Iris K. Shim,Films,entity
Q100249839,Mothering Sunday,2021 film directed by Eva Husson,Secret Love,film del 2021 diretto da Eva Husson,Films,entity
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,Il Natale dimenticato,film del 2019 diretto da Andrea Eckerbom,Films,entity
Q100257336,Deadly Illusions,2020 Russian film,Smertel'nye illjuzii,film del 2020 di Oleg Asadulin,Films,entity
Q100265988,Black Box,2020 film directed by Emmanuel Osei-Kuffour Jr.,Ritrova te stesso,film del 2020 diretto da Emmanuel Osei-Kuffour Jr.,Films,entity
Q100268946,Final Set,2020 film by Quentin Reynaud,Il quinto set,film del 2020 diretto da Quentin Reynaud,Films,entity
Q100292318,The Addams Family 2,2021 animation film,La famiglia Addams 2,"film di animazione del 2021 diretto da Greg Tiernan, Laura Brousseau e Kevin Pavlovic",Films,entity
