item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q1022124,beef bourguignon,French wine-based beef stew,manzo alla borgognona,"stufato di carne, ricetta tradizionale francese",Food,entity
Q102316130,turkey heart,heart of domestic turkey,cuore di tacchino,cuore di un tacchino domestico,Food,entity
Q102318348,turkey fat,fat from domestic turkey,grasso di tacchino,grasso ricavato da un tacchino domestico,Food,entity
Q1027454,Calpis,Japanese company,Calpis,impresa,Food,entity
Q102824697,black raspberry,fruit of Rubus occidentalis,lampone nero,frutto del Rubus occidentalis,Food,entity
Q1032955,Candia dei Colli Apuani,Italian wine,Candia dei Colli Apuani,vino DOC toscano,Food,entity
Q103449274,pigeon pea,seed from Cajanus caja,legume caiano,legume proveniente da Cajanus caja,Food,entity
Q1034869,cappelletti,type of pasta,cappelletti,tipo di pasta ripiena,Food,entity
Q10357458,panela,unrefined whole cane sugar,Panela,piatto colombiano,Food,entity
Q103795986,green pepper,spice,pepe verde,spezia,Food,entity
Q104007757,white mulberry,fruit from Morus alba,mora di gelso bianco,frutto di albero della famiglia delle Moracee,Food,entity
Q104032416,sweet cucumber,fruit of Solanum muricatum,melone-pepino,frutto del Solanum muricatum,Food,entity
Q104034852,parsley oil,oil derived from the leaves of Petroselinum crispum,olio al prezzemolo,olio derivato dalle foglie del Petroselinum crispum,Food,entity
Q104223710,angostura bark oil,oil from the bark of Angostura trifoliata,olio di corteccia di Angostura,olio dalla corteccia di Angostura trifoliata,Food,entity
Q104224282,white lupin bean,seed from Lupinus albus,lupino bianco,legume commestibile,Food,entity
Q104245488,rice germ,germ from the seeds of Oryza sativa,germe di riso,germe da semi di Oryza sativa,Food,entity
Q104413623,safflower seed,seed from Carthamus tinctorius,seme di cartamo,seme di Carthamus tinctorius,Food,entity
Q104733765,rutabaga,root vegetable from Brassica napus subsp. rapifera,rutabaga,tipo di rapa da Brassica napus subsp. rapifera,Food,entity
Q1048282,Cassata,Type of sponge cake,Cassata siciliana,prodotto tipico siciliano,Food,entity
Q104830932,Vabé,French wine,Vabé,vino francese,Food,entity
Q104902665,Thomas Hardy's Ale,British barley wine beer,Thomas Hardy's Ale,birra britannica stile barley wine,Food,entity
Q1051699,Cava,Spanish sparkling wine protected designation of origin,Cava,vino spagnolo,Food,entity
Q1052236,pasta salad,salad containing pasta,pasta fredda,piatto freddo a base di pasta,Food,entity
