item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q1055643,colonial history of the United States,aspect of history,storia degli Stati Uniti d'America (periodo coloniale),fase della storia degli USA compresa tra la fondazione delle prime colonie europee (1607) e la dichiarazione d'indipendenza (1776),History,entity
Q1063712,history of Mauritania,aspect of history,storia della Mauritania,storia del territorio dello stato o della civiltà,History,entity
Q1064309,history of Warsaw,aspect of history,storia di Varsavia,storia della città di Varsavia,History,entity
Q1064598,history of Malaysia,aspect of history,storia della Malesia,storia del territorio dello stato o della civiltà,History,entity
Q1067131,history of New York City,"history of the city in New York, United States",storia di New York,storia del territorio dello stato o della civiltà,History,entity
Q1075000,history of Tonga,aspect of history,storia di Tonga,storia del territorio dello stato o della civiltà,History,entity
Q1083473,Women in Black,women's anti-war movement,Donne in nero,movimento pacifista femminile nato in Israele e sviluppatosi in diversi altri Stati del mondo,History,entity
Q10862295,history of Somalia,Wikimedia history article,storia della Somalia,storia del territorio dello stato o della civiltà,History,entity
Q111087443,Avesa powder magazine explosion,"The explosion of the powder magazine in Avesa (Verona, Italy) 25th of April1945",Scoppio della polveriera di Avesa,"Esplosione della polveriera di Avesa (Verona, Italia) il 25 Aprile del 1945",History,entity
Q1120803,history of Kraków,aspect of history,storia di Cracovia,storia della città di Cracovia,History,entity
Q1121772,history of Paraguay,aspect of history,storia del Paraguay,storia del territorio dello stato o della civiltà,History,entity
Q1126401,history of London,aspect of history,storia di Londra,storia del territorio dello stato o della civiltà,History,entity
Q1127742,national day of mourning,type of public holiday,lutto nazionale,commemorazione,History,entity
Q1128112,history of Mozambique,aspect of history,storia del Mozambico,storia del territorio dello stato o della civiltà,History,entity
Q1129461,history of Kazakhstan,aspect of history,storia del Kazakistan,storia del territorio dello stato o della civiltà,History,entity
Q113162,history of the United Kingdom,history of the sovereign state of the United Kingdom,storia del Regno Unito,storia ed evoluzione di uno stato o di una civiltà,History,entity
Q1143972,history of Cameroon,aspect of history,storia del Camerun,storia del territorio dello stato o della civiltà,History,entity
Q114801377,economic history of the Canton of Appenzell Ausserrhoden,aspect of history and economics,storia economica del Canton Appenzello Esterno,aspetto di storia e dell'economia,History,entity
Q1148292,history of Botswana,aspect of history,storia del Botswana,storia del territorio dello stato o della civiltà,History,entity
Q1151513,history of Senegal,aspect of history,storia del Senegal,storia del territorio dello stato o della civiltà,History,entity
Q1160498,history of Monaco,aspect of history,storia di Monaco,storia del territorio dello Stato o della civiltà,History,entity
Q11696332,Egypt in the Middle Ages,history and culture of Egypt from the Arab conquest to the Ottoman Empire,storia dell'Egitto arabo,periodo della storia dell'Egitto (dal 640 al 1517 d.C.),History,entity
Q11755949,history of England,history of an area,storia dell'Inghilterra,Articolo storico,History,entity
Q1192380,history of Guinea,aspect of history,storia della Guinea,storia del territorio dello stato o della civiltà,History,entity
Q1199213,history of the Soviet Union from 1927 to 1953,aspect of history,storia dell'Unione Sovietica dal 1927 al 1953,storia del territorio dello stato o della civiltà,History,entity
Q1204290,history of Germany (1945–1990),"aspect of history, when Germany was divided into two separate states",storia della Germania dal 1945,storia del territorio dello stato o della civiltà,History,entity
Q1204808,history of modern Greece,Wikimedia history article,storia della Grecia contemporanea,storia della Grecia dal 1821 ad oggi,History,entity
Q122131,history of Germany,overview of German history,storia della Germania,cronologia di eventi storici legati alla Germania,History,entity
Q1269370,history of the United States from 1776 to 1789,aspect of history,storia degli Stati Uniti d'America dal 1776 al 1789,storia degli USA dal 1776 al 1789,History,entity
Q1284844,history of Dublin,aspect of history,storia di Dublino,storia del territorio dello stato o della civiltà,History,entity
Q130436,history of Japan,account of past events in the Japanese civilisation,storia del Giappone,storia del territorio dello stato o della civiltà,History,entity
Q131110,history of the United States,occurrences and people in the USA throughout history,storia degli Stati Uniti d'America,storia del territorio dello stato o della civiltà,History,entity
Q131611581,history of Cortona,"history of the city of Cortona, Italy",storia di Cortona,storia della città di Cortona,History,entity
Q1321010,history of Russia from 1894 to 1917,aspect of history,storia della Russia dal 1892 al 1917,storia del territorio dello stato o della civiltà,History,entity
Q1340756,history of Burkina Faso,aspect of history,storia del Burkina Faso,storia del territorio dello stato o della civiltà,History,entity
Q1344143,history of Tanzania,history of a region in East Africa,storia della Tanzania,storia del territorio dello stato o della civiltà,History,entity
Q1349896,history of the United Arab Emirates,aspect of history,storia degli Emirati Arabi Uniti,storia del territorio dello stato o della civiltà,History,entity
Q1403781,history of the Republic of Ireland,Chronicle of the Republic of Ireland,storia dell'Irlanda,storia dello Stato moderno (dal 1922),History,entity
Q1417200,history of the Republic of the Congo,aspect of history,storia della Repubblica del Congo,storia del territorio dello stato o della civiltà,History,entity
Q1426959,history of Zambia,aspect of history,storia dello Zambia,storia del territorio dello stato o della civiltà,History,entity
Q1427210,history of Guatemala,aspect of history,storia del Guatemala,storia del territorio dello stato o della civiltà,History,entity
Q1444151,History of Vatican City,aspect of history,storia della Città del Vaticano,storia del territorio dello stato o della civiltà,History,entity
Q1444167,history of San Marino,aspect of history,storia di San Marino,storia del territorio dello stato o della civiltà,History,entity
Q1477561,history of Sierra Leone,aspect of history,storia della Sierra Leone,storia del territorio dello stato o della civiltà,History,entity
Q1480307,history of Niger,aspect of history,storia del Niger,Storia del Niger,History,entity
Q1516481,history of Catalonia,historical overview of the Spanish region of Catalonia,storia della Catalogna,storia,History,entity
Q1516518,history of Milan,aspect of history,storia di Milano,vicende storiche della città di Milano,History,entity
Q1516612,history of Siena,aspect of history,storia di Siena,vicende storiche della città di Siena,History,entity
Q1516634,history of Suriname,aspect of history,storia del Suriname,storia del territorio dello stato o della civiltà,History,entity
Q1517265,history of the Catholic Church,aspect of history,storia della Chiesa cattolica,parte della storia,History,entity
Q1517663,history of Saint Vincent and the Grenadines,aspect of history,storia di Saint Vincent e Grenadine,storia del territorio dello stato o della civiltà,History,entity
Q1584837,history of Sri Lanka,historical aspects of Sri Lanka,storia dello Sri Lanka,storia del territorio dello stato o della civiltà,History,entity
Q161414,history of Russia,occurrences and people in Russia throughout history,storia della Russia,storia del territorio dello stato o della civiltà,History,entity
Q1639050,history of Jordan,History of Jordan refers to the history of the Hashemite Kingdom of Jordan and the background period of the Emirate of Transjordan under British protectorate as well as the general history of the region of Transjordan.,storia della Giordania,storia del territorio e della civiltà della Giordania,History,entity
Q1648546,history of Nepal,history of the nation state of Nepal,storia del Nepal,storia del territorio dello stato o della civiltà,History,entity
Q173840,history of Puerto Rico,aspect of history,storia di Porto Rico,storia del territorio dello stato o della civiltà,History,entity
Q174825,history of Australia,occurrences and people in Australia throughout history,storia dell'Australia,storia del territorio dello stato o della civiltà,History,entity
Q1756914,Sultanate of Nejd,Third Saudi State,Sultanato del Neged,Stato storico nella Penisola arabica (1921-1926),History,entity
Q185301,history of Egypt,aspect of history,storia dell'Egitto,storia del territorio dello stato o della civiltà,History,entity
Q187830,history of Austria,aspect of history,storia dell'Austria,storia del territorio dello stato o della civiltà,History,entity
Q188328,history of Azerbaijan,history of the Caucasian state of Azerbaijan,storia dell'Azerbaigian,storia del territorio dello stato o della civiltà,History,entity
Q188872,history of Afghanistan,Afghanistan history,storia dell'Afghanistan,storia del territorio corrispondente al moderno Afghanistan,History,entity
Q190876,history of Turkey,"aspect of history, concerning Turkey",storia della Turchia,storia del territorio dello stato o della civiltà,History,entity
Q1948053,History of the United States (1991–2008),aspect of history,storia degli Stati Uniti d'America dal 1988,storia degli USA dal 1988 in poi,History,entity
Q1994210,history of Jamaica,History of the island of Jamaica,storia della Giamaica,storia del territorio dello stato o della civiltà,History,entity
Q199569,history of Poland,account of past events in Poland since 966,storia della Polonia,storia del territorio dello stato o della civiltà,History,entity
Q199960,history of Hungary,aspect of history,storia dell'Ungheria,storia del territorio dello stato o della civiltà,History,entity
