item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q104465214,18th-century philosophy,Era of philosophy encompassing the years from 1700 to 1799,filosofia del XVIII secolo,periodo della storia della filosofia,Philosophy,entity
Q1056332,Critique of Judgment,1790 book by Immanuel Kant,Critica del Giudizio,saggio di Immanuel Kant,Philosophy,entity
Q1083473,Women in Black,women's anti-war movement,Donne in nero,movimento pacifista femminile nato in Israele e sviluppatosi in diversi altri Stati del mondo,Philosophy,entity
Q1113985,revolutionary spontaneity,philosphical concept,spontaneismo,concetto di teoria politica,Philosophy,entity
Q1187990,evolutionary medicine,application of modern evolutionary theory to understanding health and disease,medicina evoluzionistica,tipo di medicina,Philosophy,entity
Q1214817,The Metaphysics of Morals,1785 work of political and moral philosophy by Immanuel Kant,La metafisica dei costumi,saggio di Immanuel Kant,Philosophy,entity
Q133363,Satanism,ideological and philosophical beliefs based on Satan,satanismo,"gruppo di orientamenti filosofici e spirituali, incentrati sulla figura di Satana",Philosophy,entity
Q1347866,Imperial Ancestral Temple,"building in Beijing, China",Tempio imperiale ancestrale,tempio di Pechino,Philosophy,entity
Q1362751,The Theory of Communicative Action,book by Jürgen Habermas,Teoria dell'agire comunicativo,Jürgen Habermas,Philosophy,entity
Q1444611,minarchy,political science concept: what a 'minimal' state hypothetically consists of,Stato minimo,o Stato liberalista,Philosophy,entity
Q1550565,Groundwork of the Metaphysic of Morals,philosophical tract by Immanuel Kant,Fondazione della metafisica dei costumi,saggio di Immanuel Kant,Philosophy,entity
Q171995,individualism,concept regarding the moral worth of the individual,individualismo,dottrina politico-sociale che difende i valori individuali rispetto a quelli comunitari,Philosophy,entity
Q1756412,social credit,interdisciplinary distributive philosophy,credito sociale,sistema finanziario socio-economico,Philosophy,entity
Q1761342,Prolegomena to Any Future Metaphysics,1783 book by Immanuel Kant,Prolegomeni ad ogni metafisica futura che vorrà presentarsi come scienza,saggio di Immanuel Kant,Philosophy,entity
