item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q101462,Rastafari,monotheistic Abrahamic religion,rastafarianesimo,fede religiosa,Religion,entity
Q101849,Reformed Christianity,branch of Protestantism,calvinismo,dottrina cristiana protestante,Religion,entity
Q1022157,The Church of Almighty God,Chinese new religious movement,Chiesa di Dio Onnipotente,movimento religioso fondato in Cina nel 1991,Religion,entity
Q106687,Unitarianism,belief that God is a singular person,unitarianismo,movimento religioso,Religion,entity
Q1074275,Chinese folk religion,traditional Han Chinese religious belief systems,Religione tradizionale cinese,religione popolare cinese,Religion,entity
Q1077454,Malankara Jacobite Syrian Orthodox Church,Oriental Orthodox Church autonomous based in the Indian state of Kerala,chiesa ortodossa siro-malankarese,"Chiesa cristiana miafisita diffusa in India, parte integrante della Chiesa ortodossa siriaca",Religion,entity
Q1081042,Kemetism,contemporary revival of Ancient Egyptian religion,Kemetismo,Religione basata sull'adorazione delle divinità dell'Antico Egitto,Religion,entity
Q1086440,Yoruba religion,Fundada por la sacerdotisa Luz María y el sacerdote mayor Obeth de Jesús,mitologia yoruba,miti e leggende del popolo Yoruba,Religion,entity
Q1158204,Federation of Damanhur,religious community,Federazione di Damanhur,comunità religiosa,Religion,entity
Q1177668,David's Tomb,architectural structure,tomba di Davide,"Tomba in Israele, dove è sepolto il secondo Re d'Israele, Davide",Religion,entity
Q117837664,Good News International Ministries,Kenyan religious organization (2003-),setta del diguno,"setta religiosa di Malindi, cittadina del Kenya",Religion,entity
Q11899858,contemporary witchcraft,various traditions of witchcraft practiced in the present day,Stregoneria tradizionale,Termine generico per definire le nuove forme di stregoneria moderna che rivendicano un'origine storica-tradizionale,Religion,entity
Q1197248,State Shinto,"official religion of the Japanese Empire, emphasizing the divinity of the Japanese emperor",Shintoismo di Stato,culto di Stato dell'Impero giapponese,Religion,entity
Q1203626,Iglesia Maradoniana,parody religion,Iglesia Maradoniana,culto di Diego Armando Maradona,Religion,entity
Q1235185,imperial cult of ancient Rome,worship of deceased and deified emperors in ancient Roman religion,culto imperiale,culto degli imperatori defunti e divinizzati nella religione dell'antica Roma,Religion,entity
Q1258217,Rodnovery,modern religious movement based on Slavic native beliefs,rodnoveria,neopaganesimo basato sulla fede nativa degli antichi Slavi,Religion,entity
Q1275961,Cult of Reason,state religion during the French Revolution,Culto della Ragione,religione di Stato durante la rivoluzione francese,Religion,entity
Q131036,Scientology,new religion created by L. Ron Hubbard,Scientology,organizzazione religiosa,Religion,entity
Q1323511,low church,"Christian denominations without much ritual or emphasis on Church authority, and narrowly evangelical in their teaching",Low Church,corrente teologica nella Chiesa anglicana,Religion,entity
Q13446873,Arminianism,Theological movement in Protestant Christianity,arminianesimo,movimento teologico nel cristianesimo protestante,Religion,entity
Q1370167,Shakers,Christian monastic denomination,Shakers,protestanti puritani,Religion,entity
Q1401124,Proto-Indo-European mythology,myths attributed to the Proto-Indo-Europeans,religione protoindoeuropea,religioni e miti dei protoindoeuropei,Religion,entity
Q1423009,Zurvanism,extinct branch of Zoroastrianism,Zervanismo,movimento religioso,Religion,entity
Q1431297,Umbanda,Brazilian syncretic religion,Umbanda,religione sincretica brasiliana,Religion,entity
Q14397660,Pastafarianism,religion of Flying Spaghetti Monster believers,pastafarianesimo,religione,Religion,entity
Q146107,atenism,monotheistic religion,Atonismo,religione dell'Antico Egitto,Religion,entity
Q1474593,Quinquatria,ancient Roman religious festival,Quinquatria,festività romana dedicata a Minerva,Religion,entity
Q1518393,Society of the Sisters of Saint Ursula of the Blessed Virgin,Roman Catholic religious congregation for women,Religiose della Compagnia di Sant'Orsola,istituto religioso della Chiesa Cattolica,Religion,entity
Q1523459,Stregheria,form of Italian American witchcraft,stregheria,"Ricostruzionismo moderno, di matrice italo-americana, dell'antica stregoneria italiana",Religion,entity
Q1539307,Hellenism,Hellenic Polytheistic Reconstructionism,Dodecateismo,religione basata sull'adorazione delle divinità dell'antica Grecia,Religion,entity
Q1549204,Kimbanguist Church,new religious movement founded by Simon Kimbangu in 1921,Kimbanguismo,Chiesa cristiana,Religion,entity
Q1571949,Ariosophy,"Ideological systems of an esoteric nature, pioneered by Guido von List and Jörg Lanz von Liebenfels",Ariosofia,movimento filosofico religioso ed esoterico,Religion,entity
Q161696,Catharism,Christian dualist movement that thrived in some areas of Southern Europe,catarismo,"movimento eretico, separato dal Cattolicesimo durante il medioevo europeo; professava un assoluto ripudio della materia in ogni sua forma",Religion,entity
Q1651597,Indian religions,religions that originated in the Indian subcontinent,religioni indiane,religioni che hanno avuto origine nel subcontinente indiano,Religion,entity
Q16546052,Culto del Glorioso Alberto,"popular extra-canonical cult  founded in 1956 in the Italian hamlet of Serradarce, Campania, Italy, by Giuseppina Gonnella",Culto del Glorioso Alberto,"fenomeno religioso popolare extra-canonico, iniziato negli anni cinquanta del Novecento nel borgo di Serradarce, in Campania",Religion,entity
Q170208,Quakers,Christian denominational family (1652-),quaccherismo,movimento cristiano,Religion,entity
Q1759864,Ancient Mystical Order Rosae Crucis,largest Rosicrucian organization in the world,Antico e Mistico Ordine Rosae Crucis,associazione spirituale,Religion,entity
Q178671,Theosophy,religion founded by Helena Blavatsky,teosofia,insieme di dottrine esoterico-filosofiche rese popolari nel XIX secolo da Helena Petrovna Blavatsky,Religion,entity
Q1807918,Armilustrium,Festival in honor of Mars,Armilustrium,cerimonia dell'antica Roma,Religion,entity
Q183308,New Age,spiritual or religious beliefs and practices that developed in Western nations during the 1970s,New Age,movimento culturale alternativo,Religion,entity
Q184719,anthroposophy,esoteric philosophy founded by Rudolf Steiner postulating the existence of an objective spiritual world accessible to human experience,antroposofia,disciplina esoterica fondata da Rudolf Steiner,Religion,entity
Q185802,Falun Gong,spiritual discipline originating from China,Falun Dafa,disciplina spirituale cinese,Religion,entity
Q18670106,Yazidism,ancient monoteistic religion,yazidismo,religione monoteista,Religion,entity
Q18813575,Eritrean Catholic Church,Metropolitan sui iuris Eastern particular church,Chiesa cattolica eritrea,parte della Chiesa cattolica,Religion,entity
Q189753,modern paganism,group of contemporary religious movements based on ancient European and Middle Eastern religions,neopaganesimo,movimento spirituale che abbraccia un'eterogenea varietà di movimenti religiosi ispirati al paganesimo antico,Religion,entity
Q194497,Historical Vedic religion,1500–500 BC Indo-Aryan religious practices of northwest India,vedismo,tradizione religiosa nell'India nord-occidentale (1500-500 a.C.),Religion,entity
Q198998,Coptic Orthodox Church,international Oriental Orthodox Christian church led by the Patriarch of Alexandria on the Holy See of St. Mark,Chiesa ortodossa copta,"chiesa cristiana miafisita diffusa in Egitto, Etiopia ed Eritrea",Religion,entity
Q2032421,Santo Daime,syncretic religion,Santo Daime,pratica religiosa sincretica,Religion,entity
Q204128,Bábism,religious movement,babismo,movimento religioso,Religion,entity
Q21686687,Zuism,"modern movement of revival of Sumerian and Semitic, Mesopotamian and Canaanite religions",Zuismo,"Movimento moderno di restaurazione delle religioni sumere e semitiche, mesopotamiche e cananee",Religion,entity
Q217059,Unification Church,South Korean new religious movement,Chiesa dell'unificazione,nuovo movimento religioso coreano,Religion,entity
Q220222,Nation of Islam,Black nationalist African-American new religious movement,Nation of Islam,nuovo movimento religioso afroamericano,Religion,entity
Q2254859,Roman polytheistic reconstructionism,modern movement reviving traditional Roman religion,via romana agli dei,religione che rievoca gli antichi culti della Roma antica,Religion,entity
Q2269473,Zeved habat,Jewish naming ceremony for newborn girls,Zeved habat,Cerimonia ebraica dell'imposizione del nome per bambine neonate,Religion,entity
Q2279088,shinbutsu-shūgō,Japanese syncretism of Shinto and Buddhism,Shinbutsu-shūgō,sincretismo tra scintoismo e buddismo in Giappone,Religion,entity
Q22948424,Nabataean religion,religion of the Nabateans,religione nabatea,religione dei Nabatei,Religion,entity
Q2365892,Devaloka,world of gods in Jain and Hindu mythology,Devaloka,termine dell'induismo e buddhismo,Religion,entity
Q242517,Orphism,set of ancient Greek and Hellenistic religious beliefs,orfismo,antico movimento religioso incentrato sulla figura di Orfeo,Religion,entity
Q2486172,astral plane,"fictional concept of a plane of existence, similarly postulated by various philosophies and religions; crossed by the human soul in its astral body on the way to being born and after death, believed to be populated by various immaterial beings",Piano astrale,luogo metafisico,Religion,entity
Q2529896,Palo Mayombe,group of closely related religions or denominations,Palo,gruppo di religioni africane,Religion,entity
Q256178,Syro-Malankara Catholic Church,West Syriac Catholic Church based in India,Chiesa cattolica siro-malankarese,chiesa cattolica di rito antiocheno,Religion,entity
Q256223,LaVeyan Satanism,"atheistic religion founded by Anton LaVey, in which Satan is a symbol of human freedom, but not believed to be a separately existing supernatural being",Satanismo di LaVey,ideologia filosofica e religiosa,Religion,entity
Q258945,Jediism,philosophy mainly based on the Jedi characters in Star Wars media,Jedismo,"movimento filosofico che prende ispirazione dai cavalieri Jedi nella serie di ""Guerre stellari""",Religion,entity
Q262244,Pure Land Buddhism,branch of Mahāyāna Buddhism focused on achieving rebirth in a Pure Land,buddismo della Terra Pura,ramo del Buddhismo Mahāyāna,Religion,entity
Q2659042,Burkhanism,indigenous religious movement of the Altai people,Burkhanismo,religione millenarista dell'Altaj dell'inizio del XX secolo,Religion,entity
