item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q1003361,antichess,chess variant whose goal is to lose pieces,Vinciperdi,variante degli scacchi,Sports,entity
Q1004599,Professional eater,card game,Verju ne verju,gioco di carte,Sports,entity
Q1010167,Buraco,card game,Burraco,gioco di carte,Sports,entity
Q1022923,Gimnasia y Esgrima de Jujuy,"Argentine sports club based in San Salvador de Jujuy, Jujuy Province",Club Atlético Gimnasia y Esgrima,squadra di calcio argentina,Sports,entity
Q1035867,Sette e Mezzo,jarito,Sette e mezzo,gioco di carte,Sports,entity
Q1044949,Carrera Panamericana,sports car race held in Mexico,Carrera Panamericana,competizione automobilistica di durata,Sports,entity
Q1050059,skimboarding,water sport,skimboarding,sport acquatici,Sports,entity
Q105319938,2021 Women's Six Nations Championship,women's rugby union competition,Sei Nazioni 2021,20ª edizione del Sei Nazioni femminile e 26ª assoluta del Championship,Sports,entity
Q1053221,2004–05 Celtic League,rugby competition,Celtic League 2004-05,4ª edizione della Celtic League,Sports,entity
Q1053900,Central League,Nippon Professional Baseball league,Central League,Lega professionistica di baseball di Nippon,Sports,entity
Q105439616,2021 Belgian Grand Prix,Formula One motor race,Gran Premio del Belgio 2021,gran premio automobilistico di F1,Sports,entity
Q105479355,"2021 Giro d'Italia, stage 13",stage of the Giro d'Italia,13atappa del Giro d’Italia 2021,tappa del Giro d’Italia,Sports,entity
Q1056309,Pokémon Trading Card Game,1996 collectible card game based on Pokémon,Pokémon Trading Card Game,gioco di carte collezionabili,Sports,entity
Q105758284,2021 Emilia Romagna Grand Prix,Formula One motor race,Gran Premio dell'Emilia-Romagna 2021,secondo Gran Premio del campionato mondiale di Formula 1 2021,Sports,entity
Q106317355,2021 Azerbaijan Grand Prix,Formula One motor race,Gran Premio d'Azerbaigian 2021,sesto Gran Premio del campionato mondiale di Formula 1 2021,Sports,entity
Q1064959,Beer pong,Drinking game involving ping pong balls,beer pong,gioco di bevute,Sports,entity
Q106548888,European Super League,proposed annual football club competition,European Super League,progetto di lega calcistica europea (2021),Sports,entity
Q106616468,2021–22 European Rugby Champions Cup,27th rugby union clubs’ European cup,Champions Cup 2021-22,27ª Coppa d’Europa di rugby a 15 per club,Sports,entity
Q106837822,2021 Styrian Grand Prix,Formula One motor race,Gran Premio di Stiria 2021,ottavo Gran Premio del campionato mondiale di Formula 1 2021,Sports,entity
Q1077653,Napoleon,straightforward trick-taking game,Napoleone,gioco di carte,Sports,entity
Q1088157,Chrono des Nations,French cycling competitions against the clock,Chrono des Nations - Les Herbiers Vendée,corsa a cronometro di ciclismo su strada maschile,Sports,entity
Q108841301,2022–23 European Rugby Champions Cup,Rugby union competition,Champions Cup 2022-23,28ª Coppa d’Europa di rugby a 15 per club,Sports,entity
Q1089267,Ravnica: City of Guilds,Magic: The Gathering expansion set,Ravnica: Città delle Gilde,set di espansione per Magic: l'Adunanza,Sports,entity
Q109058280,Super Rugby Aupiki,women's rugby union competition in NZ,Super Rugby Aupiki,competizione neozelandese di rugby a 15 femminile,Sports,entity
Q1092612,Lega Nazionale Professionisti,"commonly known as Lega Calcio (Football League), was the governing body that ran the two highest football divisions in Italy, namely Serie A and Serie B, from 1946 to 2010",Lega Nazionale Professionisti,fu l'organismo associativo che gestì i più importanti tornei professionistici del calcio italiano di club nel secondo dopoguerra fino al 2010,Sports,entity
Q1092765,circe chess,chess variant in which captured pieces are reborn on their starting positions,scacchi circe,variante degli scacchi,Sports,entity
Q1100408,2008–09 Heineken Cup,14th season of European rugby union clubs’ top-tier competition,Heineken Cup 2008-09,14ª Coppa d’Europa di rugby a 15 per club,Sports,entity
Q110154934,2022 Women's Six Nations Championship,women's Rugby Union competition held in 2022,Sei Nazioni 2022,21ª edizione del Sei Nazioni femminile e 27ª assoluta del Championship,Sports,entity
Q1107109,Weiß Schwarz,Japanese collectible card game,Weiß Schwarz,videogioco,Sports,entity
Q11082926,Gin rummy,card game,Gin rummy,gioco di carte,Sports,entity
Q111318277,2022 Emilia Romagna Grand Prix,Formula One motor race,Gran Premio dell'Emilia-Romagna 2022,quarta prova della stagione 2022 del campionato mondiale di Formula 1,Sports,entity
Q111333132,2022 Canadian Grand Prix,Formula One motor race,Gran Premio del Canada 2022,Gran Premio di F1 2022,Sports,entity
Q111333424,2022 Abu Dhabi Grand Prix,Formula One motor race,Gran Premio di Abu Dhabi 2022,Gran Premio del Campionato 2022 di Formula 1,Sports,entity
Q1117561,Unglued,Magic: The Gathering humoristic expansion set,Unglued,set di espansione per Magic: l'Adunanza,Sports,entity
Q111936350,Pacific Four Series,International women's rugby union competition,Pacific Four Series,torneo internazionale di rugby a 15 femminile,Sports,entity
Q1124610,Planeshift,Magic: The Gathering expansion set,Congiunzione,set di espansione per Magic: l'Adunanza,Sports,entity
Q1128216,wheelchair basketball,basketball played by people in wheelchairs,pallacanestro in carrozzina,sport paralimpico,Sports,entity
Q1128406,correspondence chess,slow chess played via paper postal system (one game taking weeks then) or e-mail,scacchi per corrispondenza,gioco degli scacchi tramite sistema postale o posta elettronica,Sports,entity
Q1129250,A Game of Thrones,collectible card game,Il Trono di Spade,gioco di carte,Sports,entity
Q1134144,cornhole,lawn game in which players take turns throwing bags of corn (or bean bags),cornhole,gioco di squadra,Sports,entity
Q113827586,2023 Women's Six Nations Championship,28th women's rugby union championship of the northern emisphere,Sei Nazioni 2023,21ª edizione del Sei Nazioni femminile e 28ª assoluta del Championship,Sports,entity
Q1139885,Cribbage,card game,Cribbage,gioco di carte,Sports,entity
Q1141039,Guildpact,Magic: The Gathering expansion set,Patto delle Gilde,set di espansione per Magic: l'Adunanza,Sports,entity
Q1142995,Super League,professional rugby league,Super League,competizione di rugby a 13 per club,Sports,entity
Q1145946,Arabian Nights,Magic: The Gathering expansion set,Arabian Nights,set di espansione per Magic: l'Adunanza,Sports,entity
Q114672261,Serie A,2nd tier of the Italian women's rugby union Championship,Serie A,campionato italiano di rugby a 15 femminile di seconda divisione,Sports,entity
Q115028979,Super Rugby Americas,Rugby union club competition in South America,Super Rugby Americas,lega rugbistica professionistica sudamericana,Sports,entity
Q1153025,wheelchair tennis,sport of tennis adapted for participants in wheelchairs,tennis in carrozzina,sport paralimpico,Sports,entity
Q115473369,2023 Bahrain Grand Prix,Formula One motor race,Gran Premio del Bahrein 2023,prima prova del campionato mondiale di Formula 1 2023,Sports,entity
Q115473493,2023 Saudi Arabian Grand Prix,Formula One motor race,Gran Premio d'Arabia Saudita 2023,seconda prova del campionato mondiale di Formula 1 2023,Sports,entity
Q115479187,2023 Australian Grand Prix,Formula One motor race,Gran Premio d'Australia 2023,terzo Gran Premio del campionato mondiale di Formula 1 2023,Sports,entity
Q115479287,2023 Azerbaijan Grand Prix,Formula One motor race,Gran Premio d'Azerbaigian 2023,quarto Gran Premio del campionato mondiale di Formula 1 2023,Sports,entity
Q115479570,2023 Miami Grand Prix,Formula One motor race,Gran Premio di Miami 2023,quinto Gran Premio del campionato mondiale di Formula 1 2023,Sports,entity
Q115479656,2023 Emilia Romagna Grand Prix,Formula One motor race,Gran Premio dell'Emilia-Romagna 2023,Gran Premio di Formula 1,Sports,entity
Q115479862,2023 British Grand Prix,Formula One motor race,Gran Premio di Gran Bretagna 2023,decima prova della stagione 2023 del campionato mondiale di Formula 1,Sports,entity
Q115480468,2023 United States Grand Prix,Formula One motor race,Gran Premio degli Stati Uniti d'America 2023,diciottesima prova del campionato mondiale di Formula 1 2023,Sports,entity
Q115480496,2023 Mexico City Grand Prix,19th round of 2023 Formula One World Championship,Gran Premio di Città del Messico 2023,diciannovesimo Gran Premio del Campionato mondiale di Formula 1 2023,Sports,entity
Q115480543,2023 São Paulo Grand Prix,20th race of the 2023 Formula One World Championship,Gran Premio di San Paolo 2023,ventesimo Gran Premio del Campionato Mondiale di Formula 1 2023,Sports,entity
Q115495949,2024 Bahrain Grand Prix,first round of the 2024 Formula One World Championship,Gran Premio del Bahrein 2024,prima prova del campionato mondiale di Formula 1 2024,Sports,entity
Q11591196,Zendōkai,"mixed martial arts based on full-contact karate that allows the use of throws, choke hold, grappling, and striking techniques (including facial punching), founded by Takashi Ozawa, who left Daido Juku Kudo",Zendokai,"arti marziali miste basate sul karate a pieno contatto che consente l'uso di tecniche di lancio, soffocamento, prese e colpi (compresi i pugni facciali), fondate da Takashi Ozawa, che ha lasciato Daido Juku Kudo",Sports,entity
Q115938069,WXV,Women's rugby union competition for national teams,WXV,competizione internazionale di rugby a 15 femminile,Sports,entity
Q1161896,bughouse chess,chess variant played on two chessboards by four players in teams of two,quadriglia,variante degli scacchi,Sports,entity
Q1163715,Major League Baseball,North American professional baseball league,Major League Baseball,serie maggiore della lega professionistica di baseball nordamericana,Sports,entity
Q117168608,2024 Austrian Grand Prix,11th round of the 2024 Formula One World Championship,Gran Premio d'Austria 2024,11ª prova del campionato mondiale di Formula 1,Sports,entity
Q117344940,judo at the 2024 Summer Paralympics,judo competition,judo ai XVII Giochi paralimpici estivi,competizione sportiva del 2024,Sports,entity
Q11752474,La Sgambeda,"annual cross-country skiing competition in Livigno, Italy",La Sgambeda,gara annuale granfondo di sci di fondo in Livigno,Sports,entity
Q1188003,Cardfight!! Vanguard,Japanese collectible card game,Cardfight!! Vanguard,media franchise ideato da Akira Itō e Satoshi Nakamura,Sports,entity
Q119056081,2024 Billie Jean King Cup,2024 edition of the Billie Jean King Cup tennis competition,Billie Jean King Cup 2024,61ª edizione della competizione tennistica per squadre nazionali femminili,Sports,entity
Q119359555,2023-24 United Rugby Championship,International rugby union competition,United Rugby Championship 2023-2024,3ª edizione dell’United Rugby Championship e 23ª del campionato Celtic Rugby,Sports,entity
Q119360159,2023–24 European Rugby Champions Cup,rugby union competition,Champions Cup 2023-24,29ª Coppa d’Europa di rugby a 15 per club,Sports,entity
Q1196161,Immelmann turn,aerial maneuver,Virata di Immelmann,manovra aerea,Sports,entity
Q120434141,2023 6 Hours of Monza,endurance sports car racing event in Italy,6 Ore di Monza 2023,competizione automobilistica,Sports,entity
