item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q107090452,Manifesto for the International Exhibition of Nothing,manifesto by Piero Manzoni,Manifesto per l'Esposizione internazionale di Niente,Manifesto di Piero Manzoni,Literature,entity
Q107391650,International Exhibition of Nothing,International Exhibition of Nothing by Piero Manzoni (1960),Esposizione internazionale del Niente,Esposizione internazionale del Niente di Piero Manzoni (1960),Literature,entity
Q108744354,Folklore. Un esotico,2019 book by Giulio Bardi,Folklore. Un esotico,libro di Giulio Bardi del 2019,Literature,entity
Q119622720,Roman de Fauvel,"14th centuy manuscript, treasured in the Bibliothèque Nationale de France",Roman de Fauvel,"manoscritto del XIV secolo, conservato presso la Bibliothèque Nationale de France",Literature,entity
Q131939070,Playing murder,book by Sandra Scoppettone,Il gioco dell'assassino,romanzo giallo per ragazzi di Sandra Scoppettone,Literature,entity
Q132125806,Mel,book by Liz Berry (Shirley Pountney),Mel,romanzo per ragazzi di Liz Berry  (Shirley Pountney),Literature,entity
Q1458070,Thirty days hath September,Traditional rhyme,Trenta dì conta novembre,filastrocca italiana,Literature,entity
Q15784365,"Auf der Mauer, auf der Lauer",German children's song,"Auf der Mauer, auf der Lauer",brano musicale per bambini,Literature,entity
Q17056219,Shadow Lord,1985 novel by Laurence Yep,Shadow Lord,romanzo dek 1985 scritto Laurence Yep,Literature,entity
Q17083293,The Romulan Way,1987 novel by Diane Duane,The Romulan Way,libro del 1987 scritto da Diane Duane e Peter Morwood,Literature,entity
Q1983009,Futurist Manifesto,Manifesto by Filippo Tommaso Marinetti,Manifesto del futurismo,manifesto di Filippo Tommaso Marinetti,Literature,entity
Q2084545,The Sandman: The Dream Hunters,novella by Neil Gaiman,The Sandman. Cacciatori di sogni,fiaba scritta da Neil Gaiman,Literature,entity
Q309450,Jiraiya Gōketsu Monogatari,novel by Mizugaki Egao,Jiraiya Goketsu Monogatari,romanzo di Mizugaki Egao,Literature,entity
Q3278172,Sing a Song of Sixpence,folk song,Sing a Song of Sixpence,filastrocca inglese,Literature,entity
Q3638345,Elsewhere,book by Gabrielle Zevin,Benvenuti ad Altrove,romanzo scritto da Gabrielle Zevin,Literature,entity
Q3794193,Il giornalino della Domenica,Italian children's magazine,Il giornalino della Domenica,rivista italiana (1906-1927),Literature,entity
Q4018750,Wee Willie Winkie,1841 poem and nursery rhyme,Wee Willie Winkie,canzoncina scozzese per bambini del 1841,Literature,entity
Q4019236,What Are Little Boys Made Of?,nursery rhyme and traditional song,What Are Little Boys Made Of?,filastrocca anglosassone,Literature,entity
Q552300,"Baa, Baa, Black Sheep",English nursery rhyme,"Baa, Baa, Black Sheep",filastrocca inglese,Literature,entity
Q6115950,Jack and Jill,nursery rhyme,Jack and Jill,filastrocca inglese,Literature,entity
Q619665,Sayings of the Desert Fathers,stories attributed to early Christian hermits and monks,Apophthegmata Patrum,raccolta di testi cristiani,Literature,entity
Q6649245,Little Boy Blue,nursery rhime,Little Boy Blue,filastrocca inglese,Literature,entity
Q6960010,"Row, Row, Row Your Boat",folk song,"Row, Row, Row Your Boat",filastrocca di origine statunitense,Literature,entity
Q72752459,A.B.C. for soldiers on leave,collection highlight from the National Library of the Netherlands,A.B.C. for soldiers on leave,tesoro della collezione di Biblioteca reale dei Paesi Bassi,Literature,entity
Q7729175,The Day I Swapped My Dad for Two Goldfish,book by Neil Gaiman,Il giorno che scambiai mio padre con due pesci rossi,libro di Neil Gaiman,Literature,entity
Q83076,MUL.APIN,compendium with many diverse aspects of Babylonian astronomy and astrology,MUL.APIN,compendio astronomico/astrologico scritto in Mesopotamia,Literature,entity
Q834321,Man'yōshū,"the oldest existing collection of Japanese poetry, compiled sometime after 759 AD during the Nara period.",Man'yōshū,la più antica raccolta di poesie giapponesi,Literature,entity
Q862441,Tre pepparkaksgubbar,"Christmas song written and composed by Alice Tegnér and Astrid Forsell-Gullstrand, originally published in 1913",Tre pepparkaksgubbar,canzone natalizia svedese,Literature,entity
Q2642350,Jewish literature,literature written by Jews on Jewish themes,letteratura ebraica,letteratura scritta da ebrei su temi ebraici,Literature,concept
Q6689,French literature,literature written by French authors or French-speaking authors,letteratura francese,insieme delle opere scritte da autori di nazionalità francese e/o di lingua francese,Literature,concept
Q3139891,LGBT-related literature,literary genre,temi LGBT nella letteratura,temi LGBT nelle varie tradizioni letterarie,Literature,concept
Q184890,Latin-language literature,"literature written in Latin, and the discipline that studies it",letteratura latina,letteratura in lingua latina,Literature,concept
Q365585,Persian literature,oral compositions and written texts in the Persian language,letteratura persiana,letteratura in lingua persiana,Literature,concept
Q74217,Italian literature,Italian regional literature,storia della letteratura italiana,eventi della letteratura italiana,Literature,concept
Q194380,Arabic literature,written literature in Arabic language,letteratura araba,letteratura in lingua araba,Literature,concept
Q186579,English literature,literary works written in the English language,letteratura inglese,letteratura in lingua inglese,Literature,concept
Q113434497,Interlingue literature,literature in a constructed language,Letteratura in occidental,"letteratura in interlingue (lingua artificiale anche nota come ""occidental"")",Literature,concept
Q622237,Indian literature,regional literature,letteratura indiana,letteratura prodotta in India,Literature,concept
Q683732,Irish literature,writings from the island of Ireland,letteratura irlandese,letteratura prodotta in Irlanda,Literature,concept
Q386853,Finnish literature,literature written in Finland,letteratura finlandese,letteratura in lingua finlandese,Literature,concept
Q386319,African literature,literary works from Africa,letteratura africana,letteratura dell'Africa subsahariana,Literature,concept
Q238499,Spanish literature,literature written in the Spanish language from Spain,letteratura spagnola,letteratura in lingua spagnola,Literature,concept
Q215198,verismo,Italian literary movement,Verismo,corrente letteraria italiana,Literature,concept
Q692327,Polish literature,Polish language literature,letteratura polacca,letteratura in lingua polacca,Literature,concept
Q684384,Armenian literature,literature written in the Armenian language,letteratura armena,letteratura in lingua armena,Literature,concept
Q963619,medieval literature,literature produced during the Middle Ages,letteratura medievale,produzione letteraria del Medioevo,Literature,concept
Q849186,Brazilian literature,subset of literature produced or related to Brazil,letteratura brasiliana,letteratura prodotta in Brasile,Literature,concept
Q849175,Danish literature,literature of Denmark,letteratura danese,letteratura in danese,Literature,concept
Q986539,oral literature,literary genre,letteratura orale,genere letterario,Literature,concept
Q12410156,human rights literature,"literary genre that deals with human rights issues, and thus - directly or indirectly - promotes values of human rights",letteratura dei diritti umani,genere letterario,Literature,concept
Q696203,apocalypse,"concept of a prophetic revelation, sometimes about eschatology",apocalisse,"genere letterario con una rivelazione profetica, spesso sulla fine del mondo",Literature,concept
Q747483,erotic literature,comprises fictional and factual stories and accounts of human sexual relationships,letteratura erotica,genere letterario,Literature,concept
Q4350036,translated literature,"literature originally written in one language, and then translated into another",letteratura tradotta,letteratura originariamente scritta in una lingua e poi tradotta in un'altra,Literature,concept
Q3831106,Anti-Tom literature,American 19th century pro-slavery novels,Letteratura anti-Tom,genere letterario statunitense,Literature,concept
Q764912,British literature,literary works published in Great Britain or by British writers,letteratura britannica,opere letterarie pubblicate in Gran Bretagna o da scrittori britannici,Literature,concept
Q477756,chick lit,"Term for popular women's fiction principally used in 1990s and 2000s, now usually regarded as sexist.",chick lit,"genere letterario che si rivolgono prevalentemente a un pubblico di donne giovani, single e in carriera",Literature,concept
Q2633563,Syriac literature,literature composed in the Syriac language,letteratura siriaca,letteratura in lingua siriaca,Literature,concept
Q1057314,Hebrew literature,writing in the Hebrew language,letteratura ebraica,letteratura ebraica in ebraico del II millennio a.E.V.,Literature,concept
Q1328366,Turkish literature,genre of literature,letteratura turca,letteratura in lingua turca,Literature,concept
Q1383821,Exilliteratur,German literature written by dissenters of Nazi Germany,Exilliteratur,genere,Literature,concept
Q1414023,Icelandic literature,literature written in Iceland or by Icelandic people,letteratura islandese,letteratura in lingua islandese,Literature,concept
Q1424020,cordel literature,literary genre,letteratura di cordel,tipo di poema popolare,Literature,concept
Q1666161,migrant literature,literature written by or about migrants,Letteratura migrante,letteratura scritta da immigrati,Literature,concept
Q1723523,Canadian literature,set of literary works from Canada,Letteratura canadese,letteratura prodotta in Canada,Literature,concept
Q1933509,Slovene literature,written in the Slovene language,letteratura slovena,letteratura in lingua slovena,Literature,concept
Q104465214,18th-century philosophy,Era of philosophy encompassing the years from 1700 to 1799,filosofia del XVIII secolo,periodo della storia della filosofia,Philosophy,entity
Q1056332,Critique of Judgment,1790 book by Immanuel Kant,Critica del Giudizio,saggio di Immanuel Kant,Philosophy,entity
Q1083473,Women in Black,women's anti-war movement,Donne in nero,movimento pacifista femminile nato in Israele e sviluppatosi in diversi altri Stati del mondo,Philosophy,entity
Q1113985,revolutionary spontaneity,philosphical concept,spontaneismo,concetto di teoria politica,Philosophy,entity
Q1187990,evolutionary medicine,application of modern evolutionary theory to understanding health and disease,medicina evoluzionistica,tipo di medicina,Philosophy,entity
Q1214817,The Metaphysics of Morals,1785 work of political and moral philosophy by Immanuel Kant,La metafisica dei costumi,saggio di Immanuel Kant,Philosophy,entity
Q133363,Satanism,ideological and philosophical beliefs based on Satan,satanismo,"gruppo di orientamenti filosofici e spirituali, incentrati sulla figura di Satana",Philosophy,entity
Q1347866,Imperial Ancestral Temple,"building in Beijing, China",Tempio imperiale ancestrale,tempio di Pechino,Philosophy,entity
Q1362751,The Theory of Communicative Action,book by Jürgen Habermas,Teoria dell'agire comunicativo,Jürgen Habermas,Philosophy,entity
Q1444611,minarchy,political science concept: what a 'minimal' state hypothetically consists of,Stato minimo,o Stato liberalista,Philosophy,entity
Q1550565,Groundwork of the Metaphysic of Morals,philosophical tract by Immanuel Kant,Fondazione della metafisica dei costumi,saggio di Immanuel Kant,Philosophy,entity
Q171995,individualism,concept regarding the moral worth of the individual,individualismo,dottrina politico-sociale che difende i valori individuali rispetto a quelli comunitari,Philosophy,entity
Q1756412,social credit,interdisciplinary distributive philosophy,credito sociale,sistema finanziario socio-economico,Philosophy,entity
Q1761342,Prolegomena to Any Future Metaphysics,1783 book by Immanuel Kant,Prolegomeni ad ogni metafisica futura che vorrà presentarsi come scienza,saggio di Immanuel Kant,Philosophy,entity
Q178598,libertarianism,political philosophy and movement that upholds liberty as a core principle,libertarianismo,insieme di filosofie politiche che considerano la libertà come il più alto valore e fine politico,Philosophy,entity
Q183216,analytic philosophy,20th-century tradition of Western philosophy,filosofia analitica,corrente filosofica,Philosophy,entity
Q192125,liberal democracy,political philosophy and form of government,democrazia liberale,forma di governo,Philosophy,entity
Q19602141,human-centered design,approach to design that considers human needs at every step of development,Human-centered design,design incentrato sull'essere umano,Philosophy,entity
Q2060734,works of mercy,"various merciful acts promoted by Christian tradition, sometimes in a series of seven named acts",Opera di misericordia,azioni misericordiose promosse dalla tradizione cristiana,Philosophy,entity
Q209601,Austro-Hungarian Compromise of 1867,constitutional reform that established the dual monarchy of Austria-Hungary,Ausgleich,riforma costituzionale del 1867,Philosophy,entity
Q216920,secularism,position that religion should not influence civic and state affairs,secolarismo,ideologia politica,Philosophy,entity
Q220002,Critique of Pure Reason,1781 book by Immanuel Kant,Critica della ragion pura,saggio di Immanuel Kant,Philosophy,entity
Q2365892,Devaloka,world of gods in Jain and Hindu mythology,Devaloka,termine dell'induismo e buddhismo,Philosophy,entity
Q237789,collectivism,"The moral stance, political philosophy, ideology, or social outlook that emphasizes the significance of groups—their identities, goals, rights, and outcomes",collettivismo,"visione morale, politica e sociale che considera gli individui interdipendenti in gruppi collettivi, alla base del socialismo, del nazismo, del fascismo e del comunismo",Philosophy,entity
Q2449884,Transcendental Aesthetics,work by Immanuel Kant,Estetica trascendentale,parte della Critica della ragion pura di Immanuel Kant,Philosophy,entity
